gene	Kinetic_class	cluster	1h	2h	4h	6h	8h	12h	18h	24h	48h
ORF18	L	cluster_3	0.00854700854700855	0.011816245451043	0.0226900896902629	0.0411492566879917	0.0454038854986628	0.0269962220754525	0.012996770834516	0.0083087107993472	0.00718195919287998
ORF19	L	cluster_8	0	0	0.000605926101269252	0.00267458545561582	0.00429900190133553	0.00598833999875147	0.00972602031236798	0.0100178211383658	0.0122910273145795
ORF22, ORF21, ORF20	E	cluster_1	0.00854700854700855	0.0313532378520944	0.0325871519624516	0.0327728056696183	0.0295613914587183	0.0185546990109839	0.00997192022616017	0.00693724153249482	0.00643383848886553
ORF22	L	cluster_6	0	0.00359341093310026	0.00670971866330131	0.0122426172594956	0.0141502320245737	0.0140332676855685	0.0165732024411285	0.0138330405324906	0.014522451663228
ORF23	L	cluster_6	0	0.000322941145062384	0.00163033051630956	0.0104158202448203	0.0143840232362377	0.0118822254313901	0.012797791485045	0.010187200120153	0.00710896472131224
ORF24	L	cluster_9	0.00854700854700855	0.000351867802341532	0.000657731832026843	0.00396866203990903	0.00768866097716076	0.0082757739824697	0.0106278763667365	0.00687655177352232	0.00603628409586959
ORF27, ORF26, ORF25	L	cluster_6	0.0371352785145889	0.00113099295225287	0.00341908280688707	0.0415696211100336	0.0903517853179886	0.123573339101383	0.0826640640506277	0.0924911600957785	0.0927289667860947
ORF28, ORF29	L	cluster_3	0	0.000469757575403719	0.00202713701330165	0.0125564630388092	0.0129425317933883	0.00900778339095407	0.00370275673921669	0.0034219894703138	0.00197757447423456
ORF30	E	cluster_5	0	0.0242775346280054	0.0254757244115566	0.00595795559205012	0.00276423736908617	0.00305420411626119	0.00396921559630877	0.00345505679985875	0.00390258560678836
ORF31	E	cluster_1	0.0114942528735632	0.0418348055592999	0.054156116042898	0.0369524041858111	0.0232500898658891	0.0127933233387822	0.00611016148448445	0.00447268882556693	0.00435080632124105
ORF32, ORF33, ORF34	E/L	cluster_7	0	0.0674702430287687	0.0501699346408346	0.0672904492240684	0.0594279161303945	0.0479571195920302	0.0291897435727001	0.0218159250693681	0.0201518383365875
ORF37, ORF36, ORF35, ORF35.5	L	cluster_6	0	0.000282570751845159	0.00151192961323737	0.0147072796175778	0.0312012677741786	0.0335058129927913	0.0385929652186731	0.0400862542829856	0.0281129695661799
ORF36	L	cluster_6	0	0.000245421765217423	0.00103350052451652	0.00406173832603332	0.0061659955630893	0.00621923268981207	0.00445536808993106	0.00407565956871844	0.00463513587928809
ORF37	L	cluster_3	0	0.000127531992155236	0.000865428643529016	0.00170095542053492	0.00141363684630585	0.00080241884870027	0.000629396345163641	0.000643019089409701	0.000881544226252624
ORF38	L	cluster_3	0	0.0054606691810054	0.0109977919812963	0.0133576846231569	0.010855837097325	0.00811689720232721	0.0062482851242101	0.00556327712365197	0.00493422274008808
ORF39	L	cluster_10	0.00854700854700855	0.000387596899224806	0.000399891187758801	0.00197905659146563	0.00587680396299706	0.00704691182077324	0.00412767305828106	0.00412694965101365	0.00469983289270112
CTO	unknown	cluster_6	0	0.00813313945661209	0.0107160636250142	0.0212703550099081	0.0498583156421038	0.0665212041709703	0.0374662136470832	0.0390838771815359	0.04506303981048
ORF40	L	cluster_2	0	0	0.000390637115458655	0.00221877784853294	0.00439814974090664	0.00399948095774422	0.00221600250979134	0.0017106745837941	0.00141494947830646
ORF41, ORF42, OF43	L	cluster_6	0	0.00254919795268484	0.00261257817995227	0.00917856249307149	0.021990303255131	0.027970338856487	0.02620273800849	0.0284907567708493	0.0265925804686819
ORF44	L	cluster_6	0	0.00178722740634291	0.00218698158034459	0.00330766870400265	0.00425330811784353	0.00547862441410968	0.00581161919592068	0.00521750479764806	0.00486644022282535
ORF45, ORF46	L	cluster_10	0.00854700854700855	0.000664456783438636	0.00214727766841796	0.00732936361711913	0.014385575676481	0.0153905731978086	0.0124886764225331	0.0106378201145161	0.0102840660852733
ORF48, ORF49, ORF50, ORF51	E/L	cluster_3	0	0.0147333429290125	0.0184566730441584	0.0267925208404389	0.0195844096842213	0.0148061202356255	0.0126243426183009	0.00957363682277717	0.0102099666356785
ORF52	L	cluster_8	0	0.000428677237314262	0.00120655377751754	0.00879711497753577	0.0139465810555965	0.0201845249611498	0.0384994552957877	0.0412146323702795	0.0477566320599388
ORF53, ORF54	E	cluster_8	0.00854700854700855	0.0234548176782873	0.00923711783326712	0.00379958058728273	0.00628931676321073	0.0181767996985569	0.0583351783944088	0.0919515799345507	0.129471187260242
