gene	cluster	si	au	bp	se.si	se.au	se.bp	v	c	pchi	neighbor	sil_width	gene_order	gene_to_centroid_dist	scaled_dist
ORF3	3	0.123481019792524	0.598675511810231	0.515266169282362	0.0376326243337588	0.0295733250728807	0.00527044015681563	-0.14409813279056	0.105822177251974	0.938762776600692	2	0.0545998454423567	6	0.01595875107085	0.0538947705195104
ORF30	5	0.299768188156821	0.667963949145578	0.619727843780743	0.0381982677136789	0.0281444577412443	0.00513260835229217	-0.369532011835657	0.0647659252165666	0.636035425192323	1	0.512957208793156	4	0.125169476496434	0.422713543301307
ORF31	1	1	1	1	0	0	0	0	0	0	5	0.598482516847664	3	0.0616919720966731	0.208341784660041
ORF32, ORF33, ORF34	7	0.993368147234121	0.997894789021471	0.97207525130654	0.00253625261140302	0.000946659290440937	0.00199316921023941	-2.38707951440339	0.474871334824442	0.206914211021768	1	0.207846986652851	4	0.14823473059877	0.500607895516012
ORF36	6	0.830088784006712	0.93392354750284	0.826706443209483	0.0223084986109915	0.0112787216645723	0.00412453875575316	-1.22344795595818	0.282218165844494	0.393342215726711	2	0.146712436411548	10	0.0908653426674658	0.306864037762004
ORF37	3	0.123481019792524	0.598675511810231	0.515266169282362	0.0376326243337588	0.0295733250728807	0.00527044015681563	-0.14409813279056	0.105822177251974	0.938762776600692	2	0.627854363175864	2	0.0396070966637538	0.133758298262834
ORF37, ORF36, ORF35, ORF35.5	6	0.830088784006712	0.93392354750284	0.826706443209483	0.0223084986109915	0.0112787216645723	0.00412453875575316	-1.22344795595818	0.282218165844494	0.393342215726711	8	0.604018233482068	4	0.0320031374895786	0.108078742706606
ORF38	3	0.123481019792524	0.598675511810231	0.515266169282362	0.0376326243337588	0.0295733250728807	0.00527044015681563	-0.14409813279056	0.105822177251974	0.938762776600692	7	0.466571917621729	4	0.00962852564090011	0.0325167788853726
ORF39	10	0.19721854673215	0.664149900145871	0.504637318547747	0.0400877206846648	0.0279291194975497	0.00527340075790251	-0.217720016692979	0.206095721120667	0.790954379035536	6	0.748870282891975	1	0.0152195678917947	0.0513984531303737
ORF4	4	0.98350295017471	0.995060727174153	0.936721085099084	0.00435630750959264	0.00157929230153421	0.00280516994887058	-2.0539347719371	0.526117166269174	0.0710136078900557	12	0	1	0	0
ORF40	2	0.998416303903893	0.999483482039984	0.991348778164751	0.00117448744324577	0.000437096680684237	0.001338253092088	-2.83079425857431	0.450577217575843	0.604415301936519	6	0.868812053547424	2	0.0105298865207404	0.035560791387265
ORF41, ORF42, OF43	6	0.830088784006712	0.93392354750284	0.826706443209483	0.0223084986109915	0.0112787216645723	0.00412453875575316	-1.22344795595818	0.282218165844494	0.393342215726711	8	0.596084745947304	5	0.0203477691140865	0.0687170532405115
ORF44	6	0.830088784006712	0.93392354750284	0.826706443209483	0.0223084986109915	0.0112787216645723	0.00412453875575316	-1.22344795595818	0.282218165844494	0.393342215726711	8	0.708220533967078	1	0.0910492803869187	0.307485219277762
ORF45, ORF46	10	0.19721854673215	0.664149900145871	0.504637318547747	0.0400877206846648	0.0279291194975497	0.00527340075790251	-0.217720016692979	0.206095721120667	0.790954379035536	6	0.203603633186825	2	0.0152195678917947	0.0513984531303737
ORF48, ORF49, ORF50, ORF51	3	0.123481019792524	0.598675511810231	0.515266169282362	0.0376326243337588	0.0295733250728807	0.00527044015681563	-0.14409813279056	0.105822177251974	0.938762776600692	7	0.202594067511712	5	0.0398921017963614	0.134720797530513
ORF52	8	0.663475630896556	0.9263860556556	0.458796586554783	0.0335465894141011	0.0110144449271806	0.00527820380186959	-0.672963478413741	0.776429427502312	0.449489009473846	6	0.728449338866179	2	0.064045251328702	0.216289113596714
ORF53, ORF54	8	0.663475630896556	0.9263860556556	0.458796586554783	0.0335465894141011	0.0110144449271806	0.00527820380186959	-0.672963478413741	0.776429427502312	0.449489009473846	6	0.660052825454433	3	0.109281722593814	0.369058539419695
ORF57, ORF58	8	0.663475630896556	0.9263860556556	0.458796586554783	0.0335465894141011	0.0110144449271806	0.00527820380186959	-0.672963478413741	0.776429427502312	0.449489009473846	6	0.776749218203566	1	0.0441604575554272	0.149135588080801
ORF62, ORF61, ORF60,ORF59	8	0.663475630896556	0.9263860556556	0.458796586554783	0.0335465894141011	0.0110144449271806	0.00527820380186959	-0.672963478413741	0.776429427502312	0.449489009473846	6	0.393445589021709	7	0.128476311553532	0.433881153834046
ORF63	5	0.299768188156821	0.667963949145578	0.619727843780743	0.0381982677136789	0.0281444577412443	0.00513260835229217	-0.369532011835657	0.0647659252165666	0.636035425192323	1	0.741984076725089	1	0.0504789895030378	0.170474089309678
ORF64_1	11	0.357867037225536	0.726422393816882	0.590613793138079	0.0390080150453021	0.025619498016795	0.00519863529876017	-0.415576297024182	0.186452134179491	0.61297834753094	12	0	1	0	0
ORF65_1	5	0.299768188156821	0.667963949145578	0.619727843780743	0.0381982677136789	0.0281444577412443	0.00513260835229217	-0.369532011835657	0.0647659252165666	0.636035425192323	1	0.620691674965876	2	0.178347424809143	0.602302366279246
ORF66_1	3	0.123481019792524	0.598675511810231	0.515266169282362	0.0376326243337588	0.0295733250728807	0.00527044015681563	-0.14409813279056	0.105822177251974	0.938762776600692	2	-0.0977519511527678	8	0.0373893547956857	0.126268696569042
ORF68, ORF67_1	1	1	1	1	0	0	0	0	0	0	5	0.631698572151624	2	0.296109453978894	1
ORF69, ORF70	12	0.790738439343419	0.944185936193295	0.635097714229429	0.0237641014831083	0.00884280056641805	0.00515071529830004	-0.96815153893077	0.622766032215292	0.472436619875498	4	0	1	0	0
ORF7,  ORF6,  ORF5	5	0.299768188156821	0.667963949145578	0.619727843780743	0.0381982677136789	0.0281444577412443	0.00513260835229217	-0.369532011835657	0.0647659252165666	0.636035425192323	1	0.563639917216639	3	0.0340319244394821	0.114930219154394
ORF71, ORF72, ORF73	8	0.663475630896556	0.9263860556556	0.458796586554783	0.0335465894141011	0.0110144449271806	0.00527820380186959	-0.672963478413741	0.776429427502312	0.449489009473846	6	0.462241789040429	6	0.129218638886528	0.436388089438504
ORF74, ORF75, ORF76, ORF67 _2	1	1	1	1	0	0	0	0	0	0	5	0.641324331082477	1	0.206301208023189	0.696705914826664
ORF8	6	0.830088784006712	0.93392354750284	0.826706443209483	0.0223084986109915	0.0112787216645723	0.00412453875575316	-1.22344795595818	0.282218165844494	0.393342215726711	2	0.650130531403759	3	0.0915185992310384	0.30907016983511
ORF9	3	0.123481019792524	0.598675511810231	0.515266169282362	0.0376326243337588	0.0295733250728807	0.00527044015681563	-0.14409813279056	0.105822177251974	0.938762776600692	7	0.671312649363747	1	0.0166478996252388	0.0562221144969771
