gene	Kinetic_class	hpi	Time	cell_line	sample	seqnames	strand	norm_base	group	read_count	norm_read_count	mean	sd	varcoeff	dist_from_mean	farthest_from_mean	farthest_rep	best_label	labels
ORF10	L	1h	1	RK-13	EHV-1_1h_1	NC_001491.2	+	1	RK-13_1h	0	-1.63673924139448	0	0		0		NA	2	2
ORF10	L	1h	1	RK-13	EHV-1_1h_2	NC_001491.2	+	1	RK-13_1h	0	-1.63673924139448	0	0		0		NA	2	2
ORF10	L	1h	1	RK-13	EHV-1_1h_3	NC_001491.2	+	1	RK-13_1h	0	-1.63673924139448	0	0		0		NA	2	2
ORF10	L	2h	2	RK-13	EHV-1_2h_1	NC_001491.2	+	1	RK-13_2h	21	5.22019486794095	20.6666666666667	1.52752523165195	0.0739125112089652	0.333333333333332	FALSE	NA	2	2
ORF10	L	2h	2	RK-13	EHV-1_2h_2	NC_001491.2	+	1	RK-13_2h	22	5.32367020317845	20.6666666666667	1.52752523165195	0.0739125112089652	1.33333333333333	FALSE	NA	2	2
ORF10	L	2h	2	RK-13	EHV-1_2h_3	NC_001491.2	+	1	RK-13_2h	19	5.22182203033254	20.6666666666667	1.52752523165195	0.0739125112089652	1.66666666666667	TRUE	3	2	2
ORF10	L	4h	4	RK-13	EHV-1_4h_1	NC_001491.2	+	1	RK-13_4h	11	4.072616385594	11	1	0.0909090909090909	0	FALSE	NA	2	2
ORF10	L	4h	4	RK-13	EHV-1_4h_2	NC_001491.2	+	1	RK-13_4h	10	4.23530476649697	11	1	0.0909090909090909	1	TRUE	2	2	2
ORF10	L	4h	4	RK-13	EHV-1_4h_3	NC_001491.2	+	1	RK-13_4h	12	3.76973917711706	11	1	0.0909090909090909	1	TRUE	3	2	2
ORF10	L	6h	6	RK-13	EHV-1_6h_1	NC_001491.2	+	1	RK-13_6h	6	0.905678949609869	9	4.35889894354067	0.484322104837853	3	FALSE	NA	2	2
ORF10	L	6h	6	RK-13	EHV-1_6h_2	NC_001491.2	+	1	RK-13_6h	14	2.67952692135109	9	4.35889894354067	0.484322104837853	5	TRUE	2	2	2
ORF10	L	6h	6	RK-13	EHV-1_6h_3	NC_001491.2	+	1	RK-13_6h	7	1.2444383151109	9	4.35889894354067	0.484322104837853	2	FALSE	NA	2	2
ORF10	L	8h	8	RK-13	EHV-1_8h_1	NC_001491.2	+	1	RK-13_8h	17	0.993894352653946	44.6666666666667	30.2709982216202	0.677708915409408	27.6666666666667	FALSE	NA	2	2
ORF10	L	8h	8	RK-13	EHV-1_8h_2	NC_001491.2	+	1	RK-13_8h	40	2.10247073489431	44.6666666666667	30.2709982216202	0.677708915409408	4.66666666666666	FALSE	NA	2	2
ORF10	L	8h	8	RK-13	EHV-1_8h_3	NC_001491.2	+	1	RK-13_8h	77	3.13032067443186	44.6666666666667	30.2709982216202	0.677708915409408	32.3333333333333	TRUE	3	2	2
