gene	Kinetic_class	hpi	Time	cell_line	mean	sd	varcoeff	cluster
ORF39	L	18h	18	RK-13	1102.33333333333	128.336796490069	0.116422857414638	cluster_9
ORF39	L	24h	24	RK-13	655.666666666667	91.5277735626369	0.139594977472247	cluster_9
ORF39	L	48h	48	RK-13	1049.5	7.77817459305202	0.00741131452410865	cluster_9
ORF4	unknown	1h	1	RK-13	0.333333333333333	0.577350269189626	1.73205080756888	cluster_4
ORF4	unknown	2h	2	RK-13	33.3333333333333	2.51661147842358	0.0754983443527075	cluster_4
ORF4	unknown	4h	4	RK-13	89.3333333333333	21.5715862498179	0.24147298040841	cluster_4
ORF4	unknown	6h	6	RK-13	408.666666666667	43.0155010819743	0.105258159254423	cluster_4
ORF4	unknown	8h	8	RK-13	414	129.502895720521	0.312808926861161	cluster_4
ORF4	unknown	12h	12	RK-13	511	96.8142551487125	0.189460381895719	cluster_4
ORF4	unknown	18h	18	RK-13	321.333333333333	18.8767935130237	0.058745208028082	cluster_4
ORF4	unknown	24h	24	RK-13	158	38.5875627631495	0.244225080779427	cluster_4
ORF4	unknown	48h	48	RK-13	257	32.5269119345812	0.126563859667631	cluster_4
ORF40	L	1h	1	RK-13	0	0		cluster_2
ORF40	L	2h	2	RK-13	0	0		cluster_2
ORF40	L	4h	4	RK-13	5.33333333333333	2.51661147842358	0.471864652204422	cluster_2
ORF40	L	6h	6	RK-13	135.333333333333	9.45163125250522	0.0698396397968366	cluster_2
ORF40	L	8h	8	RK-13	397.666666666667	118.145390656315	0.29709653978956	cluster_2
ORF40	L	12h	12	RK-13	836.333333333333	205.79682537234	0.24607033723277	cluster_2
ORF40	L	18h	18	RK-13	591.333333333333	62.7402050788275	0.106099557630486	cluster_2
ORF40	L	24h	24	RK-13	272.666666666667	51.5881123257416	0.189198455962378	cluster_2
ORF40	L	48h	48	RK-13	316.5	17.6776695296637	0.0558536162074682	cluster_2
ORF41, ORF42, OF43	L	1h	1	RK-13	0	0		cluster_2
ORF41, ORF42, OF43	L	2h	2	RK-13	12.3333333333333	4.16333199893227	0.337567459372886	cluster_2
ORF41, ORF42, OF43	L	4h	4	RK-13	35	2	0.0571428571428571	cluster_2
ORF41, ORF42, OF43	L	6h	6	RK-13	559.666666666667	13.4288247189891	0.0239943264782414	cluster_2
ORF41, ORF42, OF43	L	8h	8	RK-13	1983.66666666667	551.935986626469	0.27824028900679	cluster_2
ORF41, ORF42, OF43	L	12h	12	RK-13	5847.33333333333	1432.17363937943	0.244927654665278	cluster_2
ORF41, ORF42, OF43	L	18h	18	RK-13	6994	763.538473162944	0.109170499451379	cluster_2
ORF41, ORF42, OF43	L	24h	24	RK-13	4528.33333333333	649.160483496441	0.143355277916034	cluster_2
ORF41, ORF42, OF43	L	48h	48	RK-13	5953.5	481.539717988039	0.0808834665302829	cluster_2
ORF44	L	1h	1	RK-13	0	0		cluster_3
ORF44	L	2h	2	RK-13	8.66666666666667	2.08166599946613	0.240192230707631	cluster_3
ORF44	L	4h	4	RK-13	29.3333333333333	7.37111479583199	0.251288004403363	cluster_3
ORF44	L	6h	6	RK-13	201.666666666667	2.3094010767585	0.0114515755872322	cluster_3
ORF44	L	8h	8	RK-13	383	98.5038070330279	0.257190096691979	cluster_3
ORF44	L	12h	12	RK-13	1142.66666666667	259.50401409869	0.227103862980184	cluster_3
ORF44	L	18h	18	RK-13	1552.66666666667	189.02468974537	0.121741964198392	cluster_3
ORF44	L	24h	24	RK-13	827.666666666667	103.751305212674	0.125353973273468	cluster_3
ORF44	L	48h	48	RK-13	1091	131.521861300698	0.120551660220621	cluster_3
ORF45, ORF46	L	1h	1	RK-13	0.333333333333333	0.577350269189626	1.73205080756888	cluster_9
ORF45, ORF46	L	2h	2	RK-13	3.33333333333333	1.52752523165195	0.458257569495584	cluster_9
ORF45, ORF46	L	4h	4	RK-13	28.6666666666667	4.04145188432738	0.140980879685839	cluster_9
ORF45, ORF46	L	6h	6	RK-13	447	24.2693221990232	0.0542937856801414	cluster_9
ORF45, ORF46	L	8h	8	RK-13	1314.33333333333	444.189524114801	0.337958045230637	cluster_9
ORF45, ORF46	L	12h	12	RK-13	3222	813.090400878033	0.252355804121053	cluster_9
