gene	Kinetic_class	cluster	EHV-1_1h_1	EHV-1_1h_2	EHV-1_1h_3	EHV-1_2h_1	EHV-1_2h_2	EHV-1_2h_3	EHV-1_4h_1	EHV-1_4h_2	EHV-1_4h_3	EHV-1_6h_1	EHV-1_6h_2	EHV-1_6h_3	EHV-1_8h_1	EHV-1_8h_2	EHV-1_8h_3	EHV-1_12h_1	EHV-1_12h_2	EHV-1_12h_3	EHV-1_18h_1	EHV-1_18h_2	EHV-1_18h_3	EHV-1_24h_1	EHV-1_24h_2	EHV-1_24h_3	EHV-1_48h_1	EHV-1_48h_2
ORF4	unknown	cluster_4	0	0	1	31	33	36	74	80	114	455	401	370	285	413	544	612	419	502	342	305	317	198	155	121	280	234
ORF40	L	cluster_2	0	0	0	0	0	0	3	5	8	128	146	132	306	356	531	1056	648	805	660	577	537	330	258	230	329	304
ORF41, ORF42, OF43	L	cluster_2	0	0	0	9	17	11	35	33	37	550	575	554	1527	1827	2597	7390	4560	5592	7805	6888	6289	5049	4735	3801	6294	5613
ORF44	L	cluster_3	0	0	0	7	11	8	35	21	32	203	203	199	285	382	482	1388	871	1169	1754	1525	1379	906	867	710	1184	998
ORF45, ORF46	L	cluster_9	0	1	0	5	2	3	33	25	28	460	462	419	912	1240	1791	4028	2402	3236	3673	3354	2970	1848	1735	1474	2394	2207
ORF48, ORF49, ORF50, ORF51	E/L	cluster_5	0	0	0	86	81	53	262	246	230	1558	1654	1688	1403	1655	2200	3902	2393	2993	3888	3267	2975	1684	1633	1252	2453	2122
ORF52	L	cluster_7	0	0	0	1	2	3	18	17	13	538	538	533	911	1227	1656	5058	3357	4173	11360	10057	9385	7160	6827	5624	10969	10383
ORF53, ORF54	E	cluster_10	1	0	0	125	117	104	109	141	120	239	232	224	407	544	766	4844	2862	3723	17261	15342	14087	16184	14894	12670	30435	27517
ORF57, ORF58	L	cluster_7	0	0	0	9	6	7	11	10	18	117	109	86	294	370	557	5317	3072	4204	22286	19644	17517	11608	10505	8353	19727	17821
ORF62, ORF61, ORF60,ORF59	E/L	cluster_3	0	0	1	80	52	56	192	226	248	1771	1962	1856	2560	3370	4384	15709	10338	12072	23567	19507	18354	18416	16748	13734	24851	22640
ORF63	E	cluster_1	1	0	0	405	367	330	501	465	574	562	579	534	251	295	423	835	569	680	1228	1113	976	987	905	695	2339	2145
ORF64_1	IE	cluster_11	18	24	14	123	103	95	126	114	144	282	295	256	302	371	714	742	602	709	551	401	395	234	217	177	325	299
ORF65_1	E	cluster_12	2	1	2	952	745	679	1444	1298	1646	3060	3049	2865	1394	1654	2797	1929	1579	1656	1109	874	820	452	401	272	841	885
ORF66_1	unknown	cluster_3	0	0	0	0	0	2	5	5	9	155	141	149	188	218	293	385	338	377	298	254	176	95	103	69	84	84
ORF68, ORF67_1	L	cluster_12	3	2	3	752	632	565	2280	2245	2484	8139	8190	7818	5312	7184	10123	11292	7317	9165	6598	5710	5341	2281	2137	1770	3926	3795
ORF69, ORF70	E/L	cluster_12	3	3	4	343	288	230	502	556	614	1287	1376	1278	1438	1831	2326	4978	3232	3983	2708	2400	2232	996	926	724	1122	1163
ORF7,  ORF6,  ORF5	E/L	cluster_1	1	1	0	417	375	299	740	744	850	1474	1569	1417	988	1267	1707	3070	2007	2485	3156	2831	2507	2349	2112	1668	2243	2160
ORF71, ORF72, ORF73	L	cluster_7	0	0	0	3	0	1	12	9	9	252	282	242	418	626	847	3470	2167	2720	6158	5647	5235	3293	3041	2477	3985	3684
ORF74, ORF75, ORF76, ORF67 _2	L	cluster_5	3	0	1	458	409	359	2059	1961	2131	7428	7555	7218	4454	5633	7350	8578	5671	7065	6035	5367	5037	2028	1939	1595	3310	3174
ORF8	L	cluster_2	0	0	0	0	0	0	12	12	18	205	193	205	355	452	546	1557	996	1111	1473	1152	1130	841	700	544	1357	1124
ORF9	L	cluster_5	0	0	0	16	19	14	66	74	94	598	611	636	558	670	1007	1360	782	972	1028	900	791	555	488	423	1043	898
