sample	ID	seqnames	strand	gene_cluster	gene	Kinetic_class	hpi	Time	cell_line	group	read_count
EHV-1_48h_3	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	48h	48	RK-13	RK-13_48h	22
EHV-1_4h_1	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	4h	4	RK-13	RK-13_4h	2
EHV-1_4h_2	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	4h	4	RK-13	RK-13_4h	4
EHV-1_4h_3	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	4h	4	RK-13	RK-13_4h	9
EHV-1_6h_1	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	6h	6	RK-13	RK-13_6h	27
EHV-1_6h_2	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	6h	6	RK-13	RK-13_6h	26
EHV-1_6h_3	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	6h	6	RK-13	RK-13_6h	23
EHV-1_8h_1	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	8h	8	RK-13	RK-13_8h	26
EHV-1_8h_2	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	8h	8	RK-13	RK-13_8h	40
EHV-1_8h_3	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	8h	8	RK-13	RK-13_8h	40
EHV-1_12h_1	ORF9	NC_001491.2	-	ORF9	ORF9	L	12h	12	RK-13	RK-13_12h	211
EHV-1_12h_2	ORF9	NC_001491.2	-	ORF9	ORF9	L	12h	12	RK-13	RK-13_12h	115
EHV-1_12h_3	ORF9	NC_001491.2	-	ORF9	ORF9	L	12h	12	RK-13	RK-13_12h	136
EHV-1_18h_1	ORF9	NC_001491.2	-	ORF9	ORF9	L	18h	18	RK-13	RK-13_18h	38
EHV-1_18h_2	ORF9	NC_001491.2	-	ORF9	ORF9	L	18h	18	RK-13	RK-13_18h	30
EHV-1_18h_3	ORF9	NC_001491.2	-	ORF9	ORF9	L	18h	18	RK-13	RK-13_18h	34
EHV-1_1h_1	ORF9	NC_001491.2	-	ORF9	ORF9	L	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_2	ORF9	NC_001491.2	-	ORF9	ORF9	L	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_3	ORF9	NC_001491.2	-	ORF9	ORF9	L	1h	1	RK-13	RK-13_1h	0
EHV-1_24h_1	ORF9	NC_001491.2	-	ORF9	ORF9	L	24h	24	RK-13	RK-13_24h	57
EHV-1_24h_2	ORF9	NC_001491.2	-	ORF9	ORF9	L	24h	24	RK-13	RK-13_24h	33
EHV-1_24h_3	ORF9	NC_001491.2	-	ORF9	ORF9	L	24h	24	RK-13	RK-13_24h	25
EHV-1_2h_1	ORF9	NC_001491.2	-	ORF9	ORF9	L	2h	2	RK-13	RK-13_2h	6
EHV-1_2h_2	ORF9	NC_001491.2	-	ORF9	ORF9	L	2h	2	RK-13	RK-13_2h	5
EHV-1_2h_3	ORF9	NC_001491.2	-	ORF9	ORF9	L	2h	2	RK-13	RK-13_2h	6
EHV-1_48h_1	ORF9	NC_001491.2	-	ORF9	ORF9	L	48h	48	RK-13	RK-13_48h	62
EHV-1_48h_2	ORF9	NC_001491.2	-	ORF9	ORF9	L	48h	48	RK-13	RK-13_48h	38
EHV-1_48h_3	ORF9	NC_001491.2	-	ORF9	ORF9	L	48h	48	RK-13	RK-13_48h	37
EHV-1_4h_1	ORF9	NC_001491.2	-	ORF9	ORF9	L	4h	4	RK-13	RK-13_4h	8
EHV-1_4h_2	ORF9	NC_001491.2	-	ORF9	ORF9	L	4h	4	RK-13	RK-13_4h	15
EHV-1_4h_3	ORF9	NC_001491.2	-	ORF9	ORF9	L	4h	4	RK-13	RK-13_4h	19
EHV-1_6h_1	ORF9	NC_001491.2	-	ORF9	ORF9	L	6h	6	RK-13	RK-13_6h	59
EHV-1_6h_2	ORF9	NC_001491.2	-	ORF9	ORF9	L	6h	6	RK-13	RK-13_6h	64
EHV-1_6h_3	ORF9	NC_001491.2	-	ORF9	ORF9	L	6h	6	RK-13	RK-13_6h	78
EHV-1_8h_1	ORF9	NC_001491.2	-	ORF9	ORF9	L	8h	8	RK-13	RK-13_8h	92
EHV-1_8h_2	ORF9	NC_001491.2	-	ORF9	ORF9	L	8h	8	RK-13	RK-13_8h	128
EHV-1_8h_3	ORF9	NC_001491.2	-	ORF9	ORF9	L	8h	8	RK-13	RK-13_8h	138
EHV-1_12h_1	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	12h	12	RK-13	RK-13_12h	852
EHV-1_12h_2	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	12h	12	RK-13	RK-13_12h	480
EHV-1_12h_3	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	12h	12	RK-13	RK-13_12h	483
EHV-1_18h_1	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	18h	18	RK-13	RK-13_18h	348
EHV-1_18h_2	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	18h	18	RK-13	RK-13_18h	289
EHV-1_18h_3	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	18h	18	RK-13	RK-13_18h	249
EHV-1_1h_1	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_2	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_3	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	1h	1	RK-13	RK-13_1h	0
EHV-1_24h_1	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	24h	24	RK-13	RK-13_24h	1289
EHV-1_24h_2	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	24h	24	RK-13	RK-13_24h	926
EHV-1_24h_3	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	24h	24	RK-13	RK-13_24h	830
EHV-1_2h_1	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	2h	2	RK-13	RK-13_2h	0
EHV-1_2h_2	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	2h	2	RK-13	RK-13_2h	0
EHV-1_2h_3	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	2h	2	RK-13	RK-13_2h	0
EHV-1_48h_1	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	48h	48	RK-13	RK-13_48h	1055
EHV-1_48h_2	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	48h	48	RK-13	RK-13_48h	674
EHV-1_48h_3	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	48h	48	RK-13	RK-13_48h	467
EHV-1_4h_1	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	4h	4	RK-13	RK-13_4h	0
EHV-1_4h_2	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	4h	4	RK-13	RK-13_4h	0
EHV-1_4h_3	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	4h	4	RK-13	RK-13_4h	0
EHV-1_6h_1	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	6h	6	RK-13	RK-13_6h	0
EHV-1_6h_2	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	6h	6	RK-13	RK-13_6h	0
EHV-1_6h_3	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	6h	6	RK-13	RK-13_6h	0
EHV-1_8h_1	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	8h	8	RK-13	RK-13_8h	1
EHV-1_8h_2	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	8h	8	RK-13	RK-13_8h	1
EHV-1_8h_3	ORF16	NC_001491.2	-	ORF16	ORF16	unknown	8h	8	RK-13	RK-13_8h	4
EHV-1_12h_1	ORF28	NC_001491.2	+	ORF28	ORF28	L	12h	12	RK-13	RK-13_12h	37
EHV-1_12h_2	ORF28	NC_001491.2	+	ORF28	ORF28	L	12h	12	RK-13	RK-13_12h	18
EHV-1_12h_3	ORF28	NC_001491.2	+	ORF28	ORF28	L	12h	12	RK-13	RK-13_12h	21
EHV-1_18h_1	ORF28	NC_001491.2	+	ORF28	ORF28	L	18h	18	RK-13	RK-13_18h	2
EHV-1_18h_2	ORF28	NC_001491.2	+	ORF28	ORF28	L	18h	18	RK-13	RK-13_18h	0
EHV-1_18h_3	ORF28	NC_001491.2	+	ORF28	ORF28	L	18h	18	RK-13	RK-13_18h	1
EHV-1_1h_1	ORF28	NC_001491.2	+	ORF28	ORF28	L	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_2	ORF28	NC_001491.2	+	ORF28	ORF28	L	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_3	ORF28	NC_001491.2	+	ORF28	ORF28	L	1h	1	RK-13	RK-13_1h	0
EHV-1_24h_1	ORF28	NC_001491.2	+	ORF28	ORF28	L	24h	24	RK-13	RK-13_24h	6
EHV-1_24h_2	ORF28	NC_001491.2	+	ORF28	ORF28	L	24h	24	RK-13	RK-13_24h	7
EHV-1_24h_3	ORF28	NC_001491.2	+	ORF28	ORF28	L	24h	24	RK-13	RK-13_24h	3
EHV-1_2h_1	ORF28	NC_001491.2	+	ORF28	ORF28	L	2h	2	RK-13	RK-13_2h	0
EHV-1_2h_2	ORF28	NC_001491.2	+	ORF28	ORF28	L	2h	2	RK-13	RK-13_2h	0
EHV-1_2h_3	ORF28	NC_001491.2	+	ORF28	ORF28	L	2h	2	RK-13	RK-13_2h	0
EHV-1_48h_1	ORF28	NC_001491.2	+	ORF28	ORF28	L	48h	48	RK-13	RK-13_48h	1
EHV-1_48h_2	ORF28	NC_001491.2	+	ORF28	ORF28	L	48h	48	RK-13	RK-13_48h	3
EHV-1_48h_3	ORF28	NC_001491.2	+	ORF28	ORF28	L	48h	48	RK-13	RK-13_48h	5
EHV-1_4h_1	ORF28	NC_001491.2	+	ORF28	ORF28	L	4h	4	RK-13	RK-13_4h	0
EHV-1_4h_2	ORF28	NC_001491.2	+	ORF28	ORF28	L	4h	4	RK-13	RK-13_4h	2
EHV-1_4h_3	ORF28	NC_001491.2	+	ORF28	ORF28	L	4h	4	RK-13	RK-13_4h	0
EHV-1_6h_1	ORF28	NC_001491.2	+	ORF28	ORF28	L	6h	6	RK-13	RK-13_6h	1
EHV-1_6h_2	ORF28	NC_001491.2	+	ORF28	ORF28	L	6h	6	RK-13	RK-13_6h	1
EHV-1_6h_3	ORF28	NC_001491.2	+	ORF28	ORF28	L	6h	6	RK-13	RK-13_6h	0
EHV-1_8h_1	ORF28	NC_001491.2	+	ORF28	ORF28	L	8h	8	RK-13	RK-13_8h	9
EHV-1_8h_2	ORF28	NC_001491.2	+	ORF28	ORF28	L	8h	8	RK-13	RK-13_8h	13
EHV-1_8h_3	ORF28	NC_001491.2	+	ORF28	ORF28	L	8h	8	RK-13	RK-13_8h	10
EHV-1_12h_1	ORF2	NC_001491.2	-	ORF2	ORF2	L	12h	12	RK-13	RK-13_12h	1
EHV-1_12h_2	ORF2	NC_001491.2	-	ORF2	ORF2	L	12h	12	RK-13	RK-13_12h	1
EHV-1_12h_3	ORF2	NC_001491.2	-	ORF2	ORF2	L	12h	12	RK-13	RK-13_12h	0
EHV-1_18h_1	ORF2	NC_001491.2	-	ORF2	ORF2	L	18h	18	RK-13	RK-13_18h	2
EHV-1_18h_2	ORF2	NC_001491.2	-	ORF2	ORF2	L	18h	18	RK-13	RK-13_18h	0
EHV-1_18h_3	ORF2	NC_001491.2	-	ORF2	ORF2	L	18h	18	RK-13	RK-13_18h	0
EHV-1_1h_1	ORF2	NC_001491.2	-	ORF2	ORF2	L	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_2	ORF2	NC_001491.2	-	ORF2	ORF2	L	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_3	ORF2	NC_001491.2	-	ORF2	ORF2	L	1h	1	RK-13	RK-13_1h	0
EHV-1_24h_1	ORF2	NC_001491.2	-	ORF2	ORF2	L	24h	24	RK-13	RK-13_24h	0
EHV-1_24h_2	ORF2	NC_001491.2	-	ORF2	ORF2	L	24h	24	RK-13	RK-13_24h	0
EHV-1_24h_3	ORF2	NC_001491.2	-	ORF2	ORF2	L	24h	24	RK-13	RK-13_24h	0
EHV-1_2h_1	ORF2	NC_001491.2	-	ORF2	ORF2	L	2h	2	RK-13	RK-13_2h	0
EHV-1_2h_2	ORF2	NC_001491.2	-	ORF2	ORF2	L	2h	2	RK-13	RK-13_2h	0
EHV-1_2h_3	ORF2	NC_001491.2	-	ORF2	ORF2	L	2h	2	RK-13	RK-13_2h	0
EHV-1_48h_1	ORF2	NC_001491.2	-	ORF2	ORF2	L	48h	48	RK-13	RK-13_48h	0
EHV-1_48h_2	ORF2	NC_001491.2	-	ORF2	ORF2	L	48h	48	RK-13	RK-13_48h	0
EHV-1_48h_3	ORF2	NC_001491.2	-	ORF2	ORF2	L	48h	48	RK-13	RK-13_48h	0
EHV-1_4h_1	ORF2	NC_001491.2	-	ORF2	ORF2	L	4h	4	RK-13	RK-13_4h	0
EHV-1_4h_2	ORF2	NC_001491.2	-	ORF2	ORF2	L	4h	4	RK-13	RK-13_4h	0
EHV-1_4h_3	ORF2	NC_001491.2	-	ORF2	ORF2	L	4h	4	RK-13	RK-13_4h	0
EHV-1_6h_1	ORF2	NC_001491.2	-	ORF2	ORF2	L	6h	6	RK-13	RK-13_6h	0
EHV-1_6h_2	ORF2	NC_001491.2	-	ORF2	ORF2	L	6h	6	RK-13	RK-13_6h	0
EHV-1_6h_3	ORF2	NC_001491.2	-	ORF2	ORF2	L	6h	6	RK-13	RK-13_6h	0
EHV-1_8h_1	ORF2	NC_001491.2	-	ORF2	ORF2	L	8h	8	RK-13	RK-13_8h	1
EHV-1_8h_2	ORF2	NC_001491.2	-	ORF2	ORF2	L	8h	8	RK-13	RK-13_8h	0
EHV-1_8h_3	ORF2	NC_001491.2	-	ORF2	ORF2	L	8h	8	RK-13	RK-13_8h	0
EHV-1_12h_1	ORF52	NC_001491.2	-	ORF52	ORF52	E	12h	12	RK-13	RK-13_12h	1
EHV-1_12h_2	ORF52	NC_001491.2	-	ORF52	ORF52	E	12h	12	RK-13	RK-13_12h	0
EHV-1_12h_3	ORF52	NC_001491.2	-	ORF52	ORF52	E	12h	12	RK-13	RK-13_12h	4
EHV-1_18h_1	ORF52	NC_001491.2	-	ORF52	ORF52	E	18h	18	RK-13	RK-13_18h	0
EHV-1_18h_2	ORF52	NC_001491.2	-	ORF52	ORF52	E	18h	18	RK-13	RK-13_18h	0
EHV-1_18h_3	ORF52	NC_001491.2	-	ORF52	ORF52	E	18h	18	RK-13	RK-13_18h	0
EHV-1_1h_1	ORF52	NC_001491.2	-	ORF52	ORF52	E	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_2	ORF52	NC_001491.2	-	ORF52	ORF52	E	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_3	ORF52	NC_001491.2	-	ORF52	ORF52	E	1h	1	RK-13	RK-13_1h	0
EHV-1_24h_1	ORF52	NC_001491.2	-	ORF52	ORF52	E	24h	24	RK-13	RK-13_24h	1
EHV-1_24h_2	ORF52	NC_001491.2	-	ORF52	ORF52	E	24h	24	RK-13	RK-13_24h	0
EHV-1_24h_3	ORF52	NC_001491.2	-	ORF52	ORF52	E	24h	24	RK-13	RK-13_24h	0
EHV-1_2h_1	ORF52	NC_001491.2	-	ORF52	ORF52	E	2h	2	RK-13	RK-13_2h	0
EHV-1_2h_2	ORF52	NC_001491.2	-	ORF52	ORF52	E	2h	2	RK-13	RK-13_2h	0
EHV-1_2h_3	ORF52	NC_001491.2	-	ORF52	ORF52	E	2h	2	RK-13	RK-13_2h	0
EHV-1_48h_1	ORF52	NC_001491.2	-	ORF52	ORF52	E	48h	48	RK-13	RK-13_48h	0
EHV-1_48h_2	ORF52	NC_001491.2	-	ORF52	ORF52	E	48h	48	RK-13	RK-13_48h	0
EHV-1_48h_3	ORF52	NC_001491.2	-	ORF52	ORF52	E	48h	48	RK-13	RK-13_48h	0
EHV-1_4h_1	ORF52	NC_001491.2	-	ORF52	ORF52	E	4h	4	RK-13	RK-13_4h	0
EHV-1_4h_2	ORF52	NC_001491.2	-	ORF52	ORF52	E	4h	4	RK-13	RK-13_4h	0
EHV-1_4h_3	ORF52	NC_001491.2	-	ORF52	ORF52	E	4h	4	RK-13	RK-13_4h	0
EHV-1_6h_1	ORF52	NC_001491.2	-	ORF52	ORF52	E	6h	6	RK-13	RK-13_6h	0
EHV-1_6h_2	ORF52	NC_001491.2	-	ORF52	ORF52	E	6h	6	RK-13	RK-13_6h	0
EHV-1_6h_3	ORF52	NC_001491.2	-	ORF52	ORF52	E	6h	6	RK-13	RK-13_6h	0
EHV-1_8h_1	ORF52	NC_001491.2	-	ORF52	ORF52	E	8h	8	RK-13	RK-13_8h	1
EHV-1_8h_2	ORF52	NC_001491.2	-	ORF52	ORF52	E	8h	8	RK-13	RK-13_8h	1
EHV-1_8h_3	ORF52	NC_001491.2	-	ORF52	ORF52	E	8h	8	RK-13	RK-13_8h	1
EHV-1_12h_1	ORF64	NC_001491.2	-	ORF64	ORF64	IE	12h	12	RK-13	RK-13_12h	2
EHV-1_12h_2	ORF64	NC_001491.2	-	ORF64	ORF64	IE	12h	12	RK-13	RK-13_12h	6
EHV-1_12h_3	ORF64	NC_001491.2	-	ORF64	ORF64	IE	12h	12	RK-13	RK-13_12h	16
EHV-1_18h_1	ORF64	NC_001491.2	-	ORF64	ORF64	IE	18h	18	RK-13	RK-13_18h	0
EHV-1_18h_2	ORF64	NC_001491.2	-	ORF64	ORF64	IE	18h	18	RK-13	RK-13_18h	0
EHV-1_18h_3	ORF64	NC_001491.2	-	ORF64	ORF64	IE	18h	18	RK-13	RK-13_18h	0
EHV-1_1h_1	ORF64	NC_001491.2	-	ORF64	ORF64	IE	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_2	ORF64	NC_001491.2	-	ORF64	ORF64	IE	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_3	ORF64	NC_001491.2	-	ORF64	ORF64	IE	1h	1	RK-13	RK-13_1h	0
EHV-1_24h_1	ORF64	NC_001491.2	-	ORF64	ORF64	IE	24h	24	RK-13	RK-13_24h	0
EHV-1_24h_2	ORF64	NC_001491.2	-	ORF64	ORF64	IE	24h	24	RK-13	RK-13_24h	0
EHV-1_24h_3	ORF64	NC_001491.2	-	ORF64	ORF64	IE	24h	24	RK-13	RK-13_24h	0
EHV-1_2h_1	ORF64	NC_001491.2	-	ORF64	ORF64	IE	2h	2	RK-13	RK-13_2h	0
EHV-1_2h_2	ORF64	NC_001491.2	-	ORF64	ORF64	IE	2h	2	RK-13	RK-13_2h	0
EHV-1_2h_3	ORF64	NC_001491.2	-	ORF64	ORF64	IE	2h	2	RK-13	RK-13_2h	0
EHV-1_48h_1	ORF64	NC_001491.2	-	ORF64	ORF64	IE	48h	48	RK-13	RK-13_48h	0
EHV-1_48h_2	ORF64	NC_001491.2	-	ORF64	ORF64	IE	48h	48	RK-13	RK-13_48h	0
EHV-1_48h_3	ORF64	NC_001491.2	-	ORF64	ORF64	IE	48h	48	RK-13	RK-13_48h	2
EHV-1_4h_1	ORF64	NC_001491.2	-	ORF64	ORF64	IE	4h	4	RK-13	RK-13_4h	0
EHV-1_4h_2	ORF64	NC_001491.2	-	ORF64	ORF64	IE	4h	4	RK-13	RK-13_4h	0
EHV-1_4h_3	ORF64	NC_001491.2	-	ORF64	ORF64	IE	4h	4	RK-13	RK-13_4h	0
EHV-1_6h_1	ORF64	NC_001491.2	-	ORF64	ORF64	IE	6h	6	RK-13	RK-13_6h	0
EHV-1_6h_2	ORF64	NC_001491.2	-	ORF64	ORF64	IE	6h	6	RK-13	RK-13_6h	0
EHV-1_6h_3	ORF64	NC_001491.2	-	ORF64	ORF64	IE	6h	6	RK-13	RK-13_6h	0
EHV-1_8h_1	ORF64	NC_001491.2	-	ORF64	ORF64	IE	8h	8	RK-13	RK-13_8h	0
EHV-1_8h_2	ORF64	NC_001491.2	-	ORF64	ORF64	IE	8h	8	RK-13	RK-13_8h	1
EHV-1_8h_3	ORF64	NC_001491.2	-	ORF64	ORF64	IE	8h	8	RK-13	RK-13_8h	14
EHV-1_12h_1	ORF65	NC_001491.2	+	ORF65	ORF65	E	12h	12	RK-13	RK-13_12h	150
EHV-1_12h_2	ORF65	NC_001491.2	+	ORF65	ORF65	E	12h	12	RK-13	RK-13_12h	119
EHV-1_12h_3	ORF65	NC_001491.2	+	ORF65	ORF65	E	12h	12	RK-13	RK-13_12h	111
EHV-1_18h_1	ORF65	NC_001491.2	+	ORF65	ORF65	E	18h	18	RK-13	RK-13_18h	33
EHV-1_18h_2	ORF65	NC_001491.2	+	ORF65	ORF65	E	18h	18	RK-13	RK-13_18h	18
EHV-1_18h_3	ORF65	NC_001491.2	+	ORF65	ORF65	E	18h	18	RK-13	RK-13_18h	16
EHV-1_1h_1	ORF65	NC_001491.2	+	ORF65	ORF65	E	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_2	ORF65	NC_001491.2	+	ORF65	ORF65	E	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_3	ORF65	NC_001491.2	+	ORF65	ORF65	E	1h	1	RK-13	RK-13_1h	0
EHV-1_24h_1	ORF65	NC_001491.2	+	ORF65	ORF65	E	24h	24	RK-13	RK-13_24h	21
EHV-1_24h_2	ORF65	NC_001491.2	+	ORF65	ORF65	E	24h	24	RK-13	RK-13_24h	24
EHV-1_24h_3	ORF65	NC_001491.2	+	ORF65	ORF65	E	24h	24	RK-13	RK-13_24h	10
EHV-1_2h_1	ORF65	NC_001491.2	+	ORF65	ORF65	E	2h	2	RK-13	RK-13_2h	104
EHV-1_2h_2	ORF65	NC_001491.2	+	ORF65	ORF65	E	2h	2	RK-13	RK-13_2h	60
EHV-1_2h_3	ORF65	NC_001491.2	+	ORF65	ORF65	E	2h	2	RK-13	RK-13_2h	69
EHV-1_48h_1	ORF65	NC_001491.2	+	ORF65	ORF65	E	48h	48	RK-13	RK-13_48h	24
EHV-1_48h_2	ORF65	NC_001491.2	+	ORF65	ORF65	E	48h	48	RK-13	RK-13_48h	37
EHV-1_48h_3	ORF65	NC_001491.2	+	ORF65	ORF65	E	48h	48	RK-13	RK-13_48h	67
EHV-1_4h_1	ORF65	NC_001491.2	+	ORF65	ORF65	E	4h	4	RK-13	RK-13_4h	75
EHV-1_4h_2	ORF65	NC_001491.2	+	ORF65	ORF65	E	4h	4	RK-13	RK-13_4h	70
