Ref_Class	gene	seqnames	gene_cluster	gene_region	Kinetic_class	hpi	Time	cell_line	group	cmp_ref	strand	sample	class_code	read_count	parent	norm_base	sum_read_count	norm_read_count	mean	sd	varcoeff	Isoform_nr	Description	rep	sum_abundance	mean_abundance	min_abundance	max_abundance
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	24h	24	RK-13	RK-13_24h	ORF49-Antisense-Long-novTX_706	-	EHV-1_24h_3	Antisense-Long	0	NA	1	10	0	0	0	NA	1	NA	3	0	0	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	48h	48	RK-13	RK-13_48h	ORF49-Antisense-Long-novTX_512	-	EHV-1_48h_1	Antisense-Long	0	NA	1	9	0	0	0	NA	1	NA	1	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	48h	48	RK-13	RK-13_48h	ORF49-Antisense-Long-novTX_706	-	EHV-1_48h_1	Antisense-Long	0	NA	1	9	0	0	0	NA	1	NA	1	0	0	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	48h	48	RK-13	RK-13_48h	ORF49-Antisense-Long-novTX_512	-	EHV-1_48h_2	Antisense-Long	0	NA	1	9	0	0	0	NA	1	NA	2	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	48h	48	RK-13	RK-13_48h	ORF49-Antisense-Long-novTX_706	-	EHV-1_48h_2	Antisense-Long	0	NA	1	9	0	0	0	NA	1	NA	2	0	0	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	48h	48	RK-13	RK-13_48h	ORF49-Antisense-Long-novTX_512	-	EHV-1_48h_3	Antisense-Long	0	NA	1	6	0	0	0	NA	1	NA	3	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	48h	48	RK-13	RK-13_48h	ORF49-Antisense-Long-novTX_706	-	EHV-1_48h_3	Antisense-Long	0	NA	1	6	0	0	0	NA	1	NA	3	0	0	0	0.5
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	1h	1	RK-13	RK-13_1h	CTO-L	-	EHV-1_1h_1	=	0	NA	1	0	0	0	0	NA	1	NA	1	0	0	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	1h	1	RK-13	RK-13_1h	CTO-L	-	EHV-1_1h_2	=	0	NA	1	0	0	0	0	NA	1	NA	2	0	0	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	1h	1	RK-13	RK-13_1h	CTO-L	-	EHV-1_1h_3	=	0	NA	1	0	0	0	0	NA	1	NA	3	0	0	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	2h	2	RK-13	RK-13_2h	CTO-L	-	EHV-1_2h_1	=	0	NA	1	10	0	0.0185185185185185	0.0453609211626514	2.44948974278318	1	NA	1	0.111111111111111	0.111111111111111	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	2h	2	RK-13	RK-13_2h	CTO-L	-	EHV-1_2h_2	=	0	NA	1	1	0	0.0185185185185185	0.0453609211626514	2.44948974278318	1	NA	2	0.111111111111111	0.111111111111111	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	2h	2	RK-13	RK-13_2h	CTO-L	-	EHV-1_2h_3	=	1	NA	1	9	0.111111111111111	0.0185185185185185	0.0453609211626514	2.44948974278318	1	NA	3	0.111111111111111	0.111111111111111	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	4h	4	RK-13	RK-13_4h	CTO-L	-	EHV-1_4h_1	=	0	NA	1	11	0	0.0270562770562771	0.0423656720880662	1.56583524037493	1	NA	1	0.162337662337662	0.0909090909090909	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	4h	4	RK-13	RK-13_4h	CTO-L	-	EHV-1_4h_2	=	1	NA	1	11	0.0909090909090909	0.0270562770562771	0.0423656720880662	1.56583524037493	1	NA	2	0.162337662337662	0.0909090909090909	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	4h	4	RK-13	RK-13_4h	CTO-L	-	EHV-1_4h_3	=	1	NA	1	14	0.0714285714285714	0.0270562770562771	0.0423656720880662	1.56583524037493	1	NA	3	0.162337662337662	0.0909090909090909	0	0.111111111111111
