gene	Kinetic_class	hpi	Time	cell_line	mean	sd	varcoeff	best_label	labels	norm.method	EndType
ORF13	L	8h	8	RK-13	0.000780588008650763	0.00026701721634558	0.342071891172292	4	4	viral_read.count	TSS
ORF14	L	12h	12	RK-13	0.00348186878175472	0.000258782525034515	0.0743228826975204	2	2	viral_read.count	TSS
ORF14	L	18h	18	RK-13	0.000855898063988747	0.000105439779174899	0.123191982329668	2	2	viral_read.count	TSS
ORF14	L	1h	1	RK-13	0	0		2	2	viral_read.count	TSS
ORF14	L	24h	24	RK-13	0.00143094621991667	0.000316030635299239	0.220854306682219	2	2	viral_read.count	TSS
ORF14	L	2h	2	RK-13	0.00112648431190195	0.000577060713071203	0.512266976978042	2	2	viral_read.count	TSS
ORF14	L	48h	48	RK-13	0.00117028344844736	0.00012186110162976	0.104129560912304	2	2	viral_read.count	TSS
ORF14	L	4h	4	RK-13	0.00130173033832726	0.00107143648837321	0.823086361918875	2	2	viral_read.count	TSS
ORF14	L	6h	6	RK-13	0.000922143864670066	0.000140542244388861	0.152408154273352	2	2	viral_read.count	TSS
ORF14	L	8h	8	RK-13	0.0061779962746883	0.000186561156335988	0.0301976802900225	2	2	viral_read.count	TSS
ORF15	unknown	12h	12	RK-13	0.0598684808378799	0.000583736462309903	0.00975031358972721	4	4	viral_read.count	TSS
ORF15	unknown	18h	18	RK-13	0.0827084305798372	0.00308534456274667	0.0373038702477668	4	4	viral_read.count	TSS
ORF15	unknown	1h	1	RK-13	0	0		4	4	viral_read.count	TSS
ORF15	unknown	24h	24	RK-13	0.0993819689024006	0.0028974684173353	0.0291548703385098	4	4	viral_read.count	TSS
ORF15	unknown	2h	2	RK-13	0	0		4	4	viral_read.count	TSS
ORF15	unknown	48h	48	RK-13	0.0436907166611737	0.00206442179228519	0.0472508109284407	4	4	viral_read.count	TSS
ORF15	unknown	4h	4	RK-13	0	0		4	4	viral_read.count	TSS
ORF15	unknown	6h	6	RK-13	0.000143157858679733	7.29346914218081e-05	0.509470399281221	4	4	viral_read.count	TSS
ORF15	unknown	8h	8	RK-13	0.000964079702254255	0.000217158661033421	0.225249697224878	4	4	viral_read.count	TSS
ORF16	L	12h	12	RK-13	0.0120480092896955	0.00111735139496176	0.0927415781391721	4	4	viral_read.count	TSS
ORF16	L	18h	18	RK-13	0.0077100437242713	0.000497840575689122	0.0645703959008578	4	4	viral_read.count	TSS
ORF16	L	1h	1	RK-13	0	0		4	4	viral_read.count	TSS
ORF16	L	24h	24	RK-13	0.0289389922284739	0.000641884817106257	0.0221806209434856	4	4	viral_read.count	TSS
ORF16	L	2h	2	RK-13	0	0		4	4	viral_read.count	TSS
ORF16	L	48h	48	RK-13	0.0163175313620313	0.000896325507091562	0.0549302150677763	4	4	viral_read.count	TSS
ORF16	L	4h	4	RK-13	0	0		4	4	viral_read.count	TSS
ORF16	L	6h	6	RK-13	0	0		4	4	viral_read.count	TSS
ORF16	L	8h	8	RK-13	0.000123094278612854	7.55923398370833e-05	0.614101164480846	4	4	viral_read.count	TSS
ORF17	L	12h	12	RK-13	0.000350299174957693	8.58598048907633e-05	0.245104216706	1	1	viral_read.count	TSS
ORF17	L	18h	18	RK-13	0.00011193521119676	3.129864173978e-05	0.279613907055245	1	1	viral_read.count	TSS
ORF17	L	1h	1	RK-13	0	0		1	1	viral_read.count	TSS
ORF17	L	24h	24	RK-13	0.000107047735399264	5.4694065949316e-05	0.510931555397409	1	1	viral_read.count	TSS
ORF17	L	2h	2	RK-13	0.00251428150988075	0.00061001761078966	0.242621046367474	1	1	viral_read.count	TSS
ORF17	L	48h	48	RK-13	5.87592328765609e-05	5.1576729421426e-05	0.877763832107481	1	1	viral_read.count	TSS
ORF17	L	4h	4	RK-13	0.000626157728413839	0.000142302796199126	0.227263498862504	1	1	viral_read.count	TSS
