gene	Kinetic_class	hpi	Time	cell_line	seqnames	strand	norm_base	sample	group	read_count	mean	sd	varcoeff	dist_from_mean	farthest_from_mean	farthest_rep	cluster	rep	rep_gene	norm.method	EndType
ORF2	unknown	6h	6	RK-13	NC_001491.2	-	15014	EHV-1_6h_3	RK-13_6h	0.00173171706407353	0.00176490070072637	0.000197728881014189	0.112033997682029	3.31836366528364e-05	FALSE		cluster_2	3	ORF2::3	viral_read.count	TSS
ORF2	unknown	8h	8	RK-13	NC_001491.2	-	15660	EHV-1_8h_1	RK-13_8h	0.00568326947637293	0.00565898099548004	0.000438065005876128	0.0774105808494535	2.42884808928853e-05	FALSE		cluster_2	1	ORF2::1	viral_read.count	TSS
ORF2	unknown	8h	8	RK-13	NC_001491.2	-	22076	EHV-1_8h_2	RK-13_8h	0.00520927704294256	0.00565898099548004	0.000438065005876128	0.0774105808494535	0.000449703952537478	TRUE	2	cluster_2	2	ORF2::2	viral_read.count	TSS
ORF2	unknown	8h	8	RK-13	NC_001491.2	-	25475	EHV-1_8h_3	RK-13_8h	0.00608439646712463	0.00565898099548004	0.000438065005876128	0.0774105808494535	0.000425415471644592	FALSE		cluster_2	3	ORF2::3	viral_read.count	TSS
ORF2	unknown	12h	12	RK-13	NC_001491.2	-	73125	EHV-1_12h_1	RK-13_12h	0.00429401709401709	0.0044109464371024	0.000321112563821371	0.0727990168097153	0.000116929343085302	FALSE		cluster_2	1	ORF2::1	viral_read.count	TSS
ORF2	unknown	12h	12	RK-13	NC_001491.2	-	50424	EHV-1_12h_2	RK-13_12h	0.00416468348405521	0.0044109464371024	0.000321112563821371	0.0727990168097153	0.000246262953047185	FALSE		cluster_2	2	ORF2::2	viral_read.count	TSS
ORF2	unknown	12h	12	RK-13	NC_001491.2	-	49433	EHV-1_12h_3	RK-13_12h	0.00477413873323488	0.0044109464371024	0.000321112563821371	0.0727990168097153	0.000363192296132487	TRUE	3	cluster_2	3	ORF2::3	viral_read.count	TSS
ORF2	unknown	18h	18	RK-13	NC_001491.2	-	64048	EHV-1_18h_1	RK-13_18h	0.000936797401948539	0.000965716398777882	9.58621648112058e-05	0.099265338077017	2.89189968293434e-05	FALSE		cluster_2	1	ORF2::1	viral_read.count	TSS
ORF2	unknown	18h	18	RK-13	NC_001491.2	-	42810	EHV-1_18h_2	RK-13_18h	0.00088764307404812	0.000965716398777882	9.58621648112058e-05	0.099265338077017	7.80733247297623e-05	FALSE		cluster_2	2	ORF2::2	viral_read.count	TSS
ORF2	unknown	18h	18	RK-13	NC_001491.2	-	38221	EHV-1_18h_3	RK-13_18h	0.00107270872033699	0.000965716398777882	9.58621648112058e-05	0.099265338077017	0.000106992321559106	TRUE	3	cluster_2	3	ORF2::3	viral_read.count	TSS
ORF2	unknown	24h	24	RK-13	NC_001491.2	-	52104	EHV-1_24h_1	RK-13_24h	0.000825272531859358	0.000695002294810192	0.000135517825644205	0.194989033354509	0.000130270237049166	FALSE		cluster_2	1	ORF2::1	viral_read.count	TSS
ORF2	unknown	24h	24	RK-13	NC_001491.2	-	36050	EHV-1_24h_2	RK-13_24h	0.000554785020804438	0.000695002294810192	0.000135517825644205	0.194989033354509	0.000140217274005754	TRUE	2	cluster_2	2	ORF2::2	viral_read.count	TSS
ORF2	unknown	24h	24	RK-13	NC_001491.2	-	34045	EHV-1_24h_3	RK-13_24h	0.000704949331766779	0.000695002294810192	0.000135517825644205	0.194989033354509	9.94703695658737e-06	FALSE		cluster_2	3	ORF2::3	viral_read.count	TSS
ORF2	unknown	48h	48	RK-13	NC_001491.2	-	75252	EHV-1_48h_1	RK-13_48h	0.00120927018551002	0.00132872708140125	0.000168937562288365	0.127142409192268	0.000615141406745012	FALSE		cluster_2	1	ORF2::1	viral_read.count	TSS
ORF2	unknown	48h	48	RK-13	NC_001491.2	-	51789	EHV-1_48h_2	RK-13_48h	0.00144818397729248	0.00132872708140125	0.000168937562288365	0.127142409192268	0.000376227614962556	FALSE		cluster_2	2	ORF2::2	viral_read.count	TSS
ORF3	L	1h	1	RK-13	NC_001491.2	+	10	EHV-1_1h_1	RK-13_1h	0	0	0		0			cluster_2	1	ORF3::1	viral_read.count	TSS
ORF3	L	1h	1	RK-13	NC_001491.2	+	14	EHV-1_1h_2	RK-13_1h	0	0	0		0			cluster_2	2	ORF3::2	viral_read.count	TSS
ORF3	L	1h	1	RK-13	NC_001491.2	+	8	EHV-1_1h_3	RK-13_1h	0	0	0		0			cluster_2	3	ORF3::3	viral_read.count	TSS
ORF3	L	2h	2	RK-13	NC_001491.2	+	2197	EHV-1_2h_1	RK-13_2h	0	0.00019782393669634	0.000342641109311351	1.73205080756888	0.00019782393669634	FALSE		cluster_2	1	ORF3::1	viral_read.count	TSS
ORF3	L	2h	2	RK-13	NC_001491.2	+	1685	EHV-1_2h_2	RK-13_2h	0.000593471810089021	0.00019782393669634	0.000342641109311351	1.73205080756888	0.000395647873392681	TRUE	2	cluster_2	2	ORF3::2	viral_read.count	TSS
ORF3	L	2h	2	RK-13	NC_001491.2	+	1452	EHV-1_2h_3	RK-13_2h	0	0.00019782393669634	0.000342641109311351	1.73205080756888	0.00019782393669634	FALSE		cluster_2	3	ORF3::3	viral_read.count	TSS
ORF3	L	4h	4	RK-13	NC_001491.2	+	2051	EHV-1_4h_1	RK-13_4h	0.00243783520234032	0.00256522036998738	0.00109070090506839	0.425187994696049	0.000127385167647054	FALSE		cluster_2	1	ORF3::1	viral_read.count	TSS
ORF3	L	4h	4	RK-13	NC_001491.2	+	2591	EHV-1_4h_2	RK-13_4h	0.00154380548050946	0.00256522036998738	0.00109070090506839	0.425187994696049	0.00102141488947792	FALSE		cluster_2	2	ORF3::2	viral_read.count	TSS
ORF3	L	4h	4	RK-13	NC_001491.2	+	3231	EHV-1_4h_3	RK-13_4h	0.00371402042711235	0.00256522036998738	0.00109070090506839	0.425187994696049	0.00114880005712497	TRUE	3	cluster_2	3	ORF3::3	viral_read.count	TSS
ORF3	L	6h	6	RK-13	NC_001491.2	+	14162	EHV-1_6h_1	RK-13_6h	0.00571953113966954	0.0050345948787282	0.000638620282972901	0.126846409364764	0.000684936260941337	TRUE	1	cluster_2	1	ORF3::1	viral_read.count	TSS
ORF3	L	6h	6	RK-13	NC_001491.2	+	13242	EHV-1_6h_2	RK-13_6h	0.00445552031415194	0.0050345948787282	0.000638620282972901	0.126846409364764	0.000579074564576261	FALSE		cluster_2	2	ORF3::2	viral_read.count	TSS
ORF3	L	6h	6	RK-13	NC_001491.2	+	15014	EHV-1_6h_3	RK-13_6h	0.00492873318236313	0.0050345948787282	0.000638620282972901	0.126846409364764	0.000105861696365075	FALSE		cluster_2	3	ORF3::3	viral_read.count	TSS
ORF3	L	8h	8	RK-13	NC_001491.2	+	15660	EHV-1_8h_1	RK-13_8h	0.00753512132822478	0.00731911729729638	0.000872235301491035	0.119172198785943	0.000216004030928398	FALSE		cluster_2	1	ORF3::1	viral_read.count	TSS
ORF3	L	8h	8	RK-13	NC_001491.2	+	22076	EHV-1_8h_2	RK-13_8h	0.00806305490125023	0.00731911729729638	0.000872235301491035	0.119172198785943	0.000743937603953849	FALSE		cluster_2	2	ORF3::2	viral_read.count	TSS
ORF3	L	8h	8	RK-13	NC_001491.2	+	25475	EHV-1_8h_3	RK-13_8h	0.00635917566241413	0.00731911729729638	0.000872235301491035	0.119172198785943	0.000959941634882247	TRUE	3	cluster_2	3	ORF3::3	viral_read.count	TSS
ORF3	L	12h	12	RK-13	NC_001491.2	+	73125	EHV-1_12h_1	RK-13_12h	0.00490940170940171	0.00465467809366646	0.000236402031752342	0.0507880517181221	0.000254723615735248	TRUE	1	cluster_2	1	ORF3::1	viral_read.count	TSS
ORF3	L	12h	12	RK-13	NC_001491.2	+	50424	EHV-1_12h_2	RK-13_12h	0.00444232904965889	0.00465467809366646	0.000236402031752342	0.0507880517181221	0.00021234904400757	FALSE		cluster_2	2	ORF3::2	viral_read.count	TSS
ORF3	L	12h	12	RK-13	NC_001491.2	+	49433	EHV-1_12h_3	RK-13_12h	0.00461230352193879	0.00465467809366646	0.000236402031752342	0.0507880517181221	4.23745717276769e-05	FALSE		cluster_2	3	ORF3::3	viral_read.count	TSS
