seqnames	strand	correct_tes	prime3	sample	hpi	Time	cell_line	group	count	endtype	pos	start	end
NC_001491.2	-	TRUE	4167	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	4167	4167	4167
NC_001491.2	+	TRUE	90826	EHV1_cage_A			RK-13	EHV1_cage_A	5	prime3	90826	90826	90826
NC_001491.2	-	TRUE	2532	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime3	2532	2532	2532
NC_001491.2	-	TRUE	28841	EHV1_cage_A			RK-13	EHV1_cage_A	15	prime3	28841	28841	28841
NC_001491.2	-	TRUE	7257	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime3	7257	7257	7257
NC_001491.2	+	TRUE	38536	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	38536	38536	38536
NC_001491.2	-	TRUE	66284	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	66284	66284	66284
NC_001491.2	+	TRUE	12611	EHV1_cage_A			RK-13	EHV1_cage_A	7	prime3	12611	12611	12611
NC_001491.2	+	TRUE	135685	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	135685	135685	135685
NC_001491.2	-	TRUE	55049	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	55049	55049	55049
NC_001491.2	-	TRUE	108592	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime3	108592	108592	108592
NC_001491.2	-	TRUE	32909	EHV1_cage_A			RK-13	EHV1_cage_A	3	prime3	32909	32909	32909
NC_001491.2	-	TRUE	5809	EHV1_cage_A			RK-13	EHV1_cage_A	8	prime3	5809	5809	5809
NC_001491.2	-	TRUE	10298	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	10298	10298	10298
NC_001491.2	+	TRUE	131658	EHV1_cage_A			RK-13	EHV1_cage_A	3	prime3	131658	131658	131658
NC_001491.2	+	TRUE	11002	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	11002	11002	11002
NC_001491.2	+	TRUE	26270	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	26270	26270	26270
NC_001491.2	-	TRUE	32910	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	32910	32910	32910
NC_001491.2	-	TRUE	66118	EHV1_cage_A			RK-13	EHV1_cage_A	5	prime3	66118	66118	66118
NC_001491.2	+	TRUE	94497	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	94497	94497	94497
NC_001491.2	+	TRUE	46468	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	46468	46468	46468
NC_001491.2	+	TRUE	36642	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	36642	36642	36642
NC_001491.2	+	TRUE	44686	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	44686	44686	44686
NC_001491.2	-	TRUE	66115	EHV1_cage_A			RK-13	EHV1_cage_A	11	prime3	66115	66115	66115
NC_001491.2	-	TRUE	126216	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	126216	126216	126216
NC_001491.2	-	TRUE	119149	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	119149	119149	119149
NC_001491.2	+	TRUE	2812	EHV1_cage_A			RK-13	EHV1_cage_A	8	prime3	2812	2812	2812
NC_001491.2	+	TRUE	76748	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	76748	76748	76748
NC_001491.2	+	TRUE	19805	EHV1_cage_A			RK-13	EHV1_cage_A	3	prime3	19805	19805	19805
NC_001491.2	+	TRUE	50719	EHV1_cage_A			RK-13	EHV1_cage_A	58	prime3	50719	50719	50719
NC_001491.2	+	TRUE	88571	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	88571	88571	88571
NC_001491.2	+	TRUE	63635	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	63635	63635	63635
NC_001491.2	+	TRUE	77506	EHV1_cage_A			RK-13	EHV1_cage_A	11	prime3	77506	77506	77506
NC_001491.2	-	TRUE	94663	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	94663	94663	94663
NC_001491.2	+	TRUE	76656	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	76656	76656	76656
NC_001491.2	-	TRUE	59684	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	59684	59684	59684
NC_001491.2	+	TRUE	12131	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	12131	12131	12131
NC_001491.2	+	TRUE	45625	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	45625	45625	45625
NC_001491.2	-	TRUE	74041	EHV1_cage_A			RK-13	EHV1_cage_A	27	prime3	74041	74041	74041
NC_001491.2	+	TRUE	19783	EHV1_cage_A			RK-13	EHV1_cage_A	3	prime3	19783	19783	19783
NC_001491.2	+	TRUE	15380	EHV1_cage_A			RK-13	EHV1_cage_A	5	prime3	15380	15380	15380
NC_001491.2	+	TRUE	12613	EHV1_cage_A			RK-13	EHV1_cage_A	20	prime3	12613	12613	12613
NC_001491.2	+	TRUE	79086	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	79086	79086	79086
NC_001491.2	-	TRUE	108174	EHV1_cage_A			RK-13	EHV1_cage_A	10	prime3	108174	108174	108174
NC_001491.2	+	TRUE	19465	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	19465	19465	19465
NC_001491.2	-	TRUE	2531	EHV1_cage_A			RK-13	EHV1_cage_A	3	prime3	2531	2531	2531
NC_001491.2	+	TRUE	15375	EHV1_cage_A			RK-13	EHV1_cage_A	5	prime3	15375	15375	15375
NC_001491.2	-	TRUE	88849	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	88849	88849	88849
NC_001491.2	+	TRUE	64628	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	64628	64628	64628
NC_001491.2	-	TRUE	5821	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	5821	5821	5821
NC_001491.2	+	TRUE	19883	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	19883	19883	19883
NC_001491.2	-	TRUE	108178	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	108178	108178	108178
NC_001491.2	+	TRUE	50664	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	50664	50664	50664
NC_001491.2	+	TRUE	88439	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	88439	88439	88439
NC_001491.2	+	TRUE	82045	EHV1_cage_A			RK-13	EHV1_cage_A	22	prime3	82045	82045	82045
NC_001491.2	+	TRUE	77505	EHV1_cage_A			RK-13	EHV1_cage_A	8	prime3	77505	77505	77505
NC_001491.2	+	TRUE	119790	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	119790	119790	119790
NC_001491.2	+	TRUE	20257	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	20257	20257	20257
NC_001491.2	+	TRUE	27401	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	27401	27401	27401
NC_001491.2	-	TRUE	21066	EHV1_cage_A			RK-13	EHV1_cage_A	3	prime3	21066	21066	21066
NC_001491.2	+	TRUE	92740	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	92740	92740	92740
NC_001491.2	-	TRUE	87844	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	87844	87844	87844
NC_001491.2	+	TRUE	50589	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	50589	50589	50589
NC_001491.2	+	TRUE	89461	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	89461	89461	89461
NC_001491.2	+	TRUE	121145	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	121145	121145	121145
NC_001491.2	+	TRUE	12129	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	12129	12129	12129
NC_001491.2	+	TRUE	82044	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime3	82044	82044	82044
NC_001491.2	-	TRUE	43559	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	43559	43559	43559
NC_001491.2	+	TRUE	92552	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	92552	92552	92552
NC_001491.2	+	TRUE	134791	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	134791	134791	134791
NC_001491.2	+	TRUE	18239	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	18239	18239	18239
NC_001491.2	-	TRUE	4169	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	4169	4169	4169
NC_001491.2	-	TRUE	49069	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	49069	49069	49069
NC_001491.2	-	TRUE	4083	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	4083	4083	4083
NC_001491.2	-	TRUE	112794	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	112794	112794	112794
NC_001491.2	+	TRUE	122964	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	122964	122964	122964
NC_001491.2	+	TRUE	90799	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	90799	90799	90799
NC_001491.2	+	TRUE	25625	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	25625	25625	25625
NC_001491.2	+	TRUE	119021	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	119021	119021	119021
NC_001491.2	+	TRUE	101753	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	101753	101753	101753
NC_001491.2	+	TRUE	10191	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	10191	10191	10191
NC_001491.2	-	TRUE	31202	EHV1_cage_A			RK-13	EHV1_cage_A	10	prime3	31202	31202	31202
NC_001491.2	+	TRUE	77736	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	77736	77736	77736
NC_001491.2	+	TRUE	86503	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	86503	86503	86503
NC_001491.2	-	TRUE	65912	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	65912	65912	65912
NC_001491.2	-	TRUE	118702	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	118702	118702	118702
NC_001491.2	+	TRUE	126480	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	126480	126480	126480
NC_001491.2	+	TRUE	134683	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	134683	134683	134683
NC_001491.2	+	TRUE	12610	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime3	12610	12610	12610
NC_001491.2	+	TRUE	13669	EHV1_cage_A			RK-13	EHV1_cage_A	3	prime3	13669	13669	13669
NC_001491.2	-	TRUE	84543	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	84543	84543	84543
NC_001491.2	+	TRUE	105519	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	105519	105519	105519
NC_001491.2	+	TRUE	102427	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	102427	102427	102427
NC_001491.2	+	TRUE	121361	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	121361	121361	121361
NC_001491.2	+	TRUE	55538	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	55538	55538	55538
NC_001491.2	+	TRUE	78855	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	78855	78855	78855
NC_001491.2	+	TRUE	92556	EHV1_cage_A			RK-13	EHV1_cage_A	10	prime3	92556	92556	92556
NC_001491.2	-	TRUE	31203	EHV1_cage_A			RK-13	EHV1_cage_A	3	prime3	31203	31203	31203
NC_001491.2	+	TRUE	64834	EHV1_cage_A			RK-13	EHV1_cage_A	16	prime3	64834	64834	64834
NC_001491.2	+	TRUE	135828	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	135828	135828	135828
NC_001491.2	+	TRUE	77501	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime3	77501	77501	77501
NC_001491.2	-	TRUE	68405	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	68405	68405	68405
NC_001491.2	+	TRUE	82048	EHV1_cage_A			RK-13	EHV1_cage_A	87	prime3	82048	82048	82048
NC_001491.2	-	TRUE	69970	EHV1_cage_A			RK-13	EHV1_cage_A	3	prime3	69970	69970	69970
NC_001491.2	+	TRUE	52455	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	52455	52455	52455
NC_001491.2	-	TRUE	111893	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	111893	111893	111893
NC_001491.2	-	TRUE	125195	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	125195	125195	125195
NC_001491.2	-	TRUE	111889	EHV1_cage_A			RK-13	EHV1_cage_A	6	prime3	111889	111889	111889
NC_001491.2	-	TRUE	28101	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	28101	28101	28101
NC_001491.2	+	TRUE	96596	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	96596	96596	96596
NC_001491.2	+	TRUE	90866	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	90866	90866	90866
NC_001491.2	+	TRUE	82060	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	82060	82060	82060
NC_001491.2	+	TRUE	84510	EHV1_cage_A			RK-13	EHV1_cage_A	3	prime3	84510	84510	84510
NC_001491.2	+	TRUE	136745	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	136745	136745	136745
NC_001491.2	-	TRUE	117169	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	117169	117169	117169
NC_001491.2	+	TRUE	69441	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	69441	69441	69441
NC_001491.2	-	TRUE	47233	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	47233	47233	47233
NC_001491.2	+	TRUE	84333	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	84333	84333	84333
NC_001491.2	+	TRUE	92521	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime3	92521	92521	92521
NC_001491.2	+	TRUE	92553	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	92553	92553	92553
NC_001491.2	+	TRUE	33377	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	33377	33377	33377
NC_001491.2	+	TRUE	90729	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	90729	90729	90729
NC_001491.2	+	TRUE	77253	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	77253	77253	77253
NC_001491.2	-	TRUE	25643	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	25643	25643	25643
NC_001491.2	-	TRUE	9946	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	9946	9946	9946
NC_001491.2	+	TRUE	83375	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	83375	83375	83375
NC_001491.2	+	TRUE	50249	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	50249	50249	50249
NC_001491.2	-	TRUE	2529	EHV1_cage_A			RK-13	EHV1_cage_A	10	prime3	2529	2529	2529
NC_001491.2	-	TRUE	85526	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	85526	85526	85526
NC_001491.2	+	TRUE	18296	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	18296	18296	18296
NC_001491.2	-	TRUE	54855	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	54855	54855	54855
NC_001491.2	+	TRUE	64831	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	64831	64831	64831
NC_001491.2	-	TRUE	106995	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	106995	106995	106995
NC_001491.2	+	TRUE	84506	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	84506	84506	84506
NC_001491.2	-	TRUE	22617	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	22617	22617	22617
NC_001491.2	+	TRUE	114098	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	114098	114098	114098
NC_001491.2	+	TRUE	90829	EHV1_cage_A			RK-13	EHV1_cage_A	31	prime3	90829	90829	90829
NC_001491.2	-	TRUE	129067	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	129067	129067	129067
NC_001491.2	-	TRUE	55051	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	55051	55051	55051
NC_001491.2	+	TRUE	122393	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime3	122393	122393	122393
NC_001491.2	+	TRUE	1395	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime3	1395	1395	1395
NC_001491.2	-	TRUE	106994	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	106994	106994	106994
NC_001491.2	-	TRUE	99874	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	99874	99874	99874
NC_001491.2	-	TRUE	90284	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	90284	90284	90284
NC_001491.2	-	TRUE	76204	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	76204	76204	76204
NC_001491.2	+	TRUE	13734	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	13734	13734	13734
NC_001491.2	+	TRUE	6613	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	6613	6613	6613
NC_001491.2	-	TRUE	124537	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	124537	124537	124537
NC_001491.2	-	TRUE	108173	EHV1_cage_A			RK-13	EHV1_cage_A	3	prime3	108173	108173	108173
NC_001491.2	-	TRUE	48156	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	48156	48156	48156
NC_001491.2	+	TRUE	50714	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	50714	50714	50714
NC_001491.2	+	TRUE	25624	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	25624	25624	25624
NC_001491.2	-	TRUE	74045	EHV1_cage_A			RK-13	EHV1_cage_A	6	prime3	74045	74045	74045
NC_001491.2	+	TRUE	119531	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	119531	119531	119531
NC_001491.2	+	TRUE	137968	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	137968	137968	137968
NC_001491.2	-	TRUE	106536	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	106536	106536	106536
NC_001491.2	+	TRUE	102815	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	102815	102815	102815
NC_001491.2	-	TRUE	48143	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	48143	48143	48143
NC_001491.2	+	TRUE	33379	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	33379	33379	33379
NC_001491.2	-	TRUE	69972	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	69972	69972	69972
NC_001491.2	-	TRUE	125187	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	125187	125187	125187
NC_001491.2	-	TRUE	2395	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	2395	2395	2395
NC_001491.2	-	TRUE	66124	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime3	66124	66124	66124
NC_001491.2	+	TRUE	137963	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	137963	137963	137963
