gene	Kinetic_class	cluster	au	si	gene_to_centroid_dist	sil_width
ORF34	unknown	cluster_1	0.999861578494841	0.999307841098033	0.21608300014951	0.633026025583966
ORF35	L	cluster_6	0.94475802413414	0.791275198205967	0.0453944585846134	0.476660505728642
ORF35.5	L	cluster_5	0.84255797364664	0.468941246055435	0.0505041042777574	0.618316789859444
ORF36	L	cluster_5	0.84255797364664	0.468941246055435	0.0649929357577081	0.0126895419604912
ORF37	L	cluster_7	0.949936132807969	0.814903194948321	0.000915224129606705	0.129333234000494
ORF38	L	cluster_1	0.999861578494841	0.999307841098033	0.0503919230035076	0.596413835790075
ORF39	L	cluster_2	0.954344474711907	0.839222174749763	0.0118361011037064	0.116186312934095
ORF4	unknown	cluster_1	0.999861578494841	0.999307841098033	0.0537388845182173	0.650740519843513
ORF40	L	cluster_2	0.954344474711907	0.839222174749763	0.00843993947933827	0.27372476342723
ORF41	L	cluster_6	0.94475802413414	0.791275198205967	0.0453264646603067	0.398709255498103
ORF42	L	cluster_5	0.84255797364664	0.468941246055435	0.0607893746864849	0.420176177060741
ORF43	L	cluster_5	0.84255797364664	0.468941246055435	0.0346122087552859	0.689199012512101
ORF44	L	cluster_5	0.84255797364664	0.468941246055435	0.0718703518609908	0.501932013965481
ORF46	L	cluster_5	0.84255797364664	0.468941246055435	0.0610547029663821	0.615610829597169
ORF48	L	cluster_6	0.94475802413414	0.791275198205967	0.0439776545710665	-0.095382412940546
ORF49	L	cluster_7	0.949936132807969	0.814903194948321	0.0023459729133888	-0.173927175445485
ORF5	E	cluster_3	0.997588260539837	0.98879382121023	0.147153077477888	0.223702797342906
ORF50	L	cluster_1	0.999861578494841	0.999307841098033	0.0569915973609636	0.664907653967868
ORF51	E	cluster_7	0.949936132807969	0.814903194948321	0.00232637518543422	0.320581785982197
ORF52	L	cluster_6	0.94475802413414	0.791275198205967	0.0179493925561718	0.594712001923705
ORF53	E	cluster_3	0.997588260539837	0.98879382121023	0.0384858930389339	0.62511947938929
ORF54	E	cluster_6	0.94475802413414	0.791275198205967	0.086172216660483	0.603272952401126
ORF57	L	cluster_6	0.94475802413414	0.791275198205967	0.0451033321932986	0.495307543948981
ORF58	L	cluster_5	0.84255797364664	0.468941246055435	0.0601108012861215	0.489389078819627
ORF59	L	cluster_9	0.974676660108417	0.831463113748437	0.000342214775317192	0.260531322270525
ORF6	L	cluster_4	0.773379616626411	0.477636737679796	0.202463176330146	0.597737005783767
ORF60	L	cluster_6	0.94475802413414	0.791275198205967	0.0356152694097286	0.437890990610361
ORF61	E	cluster_1	0.999861578494841	0.999307841098033	0.0293021927776948	0.482323905976766
ORF62	L	cluster_5	0.84255797364664	0.468941246055435	0.044716149874024	0.288028164227987
ORF63	E	cluster_3	0.997588260539837	0.98879382121023	0.0948659826797465	0.6236752033462
ORF64_1	IE	cluster_10	0.986968860125315	0.860104467387123	0	0
ORF65_1	E	cluster_4	0.773379616626411	0.477636737679796	0.163419232605124	0.340705307580138
ORF66_1	unknown	cluster_2	0.954344474711907	0.839222174749763	0.011116641310065	0.40770519980428
ORF67_1	L	cluster_4	0.773379616626411	0.477636737679796	0.106458524743077	0.552520783674487
ORF68	L	cluster_8	0.999458847621458	0.996330052979522	0.00236593269084105	0.268418123444479
ORF69	E	cluster_12	0.937292486272583	0.758692006313868	0.097393340956785	-0.0359849365843296
ORF7	E	cluster_3	0.997588260539837	0.98879382121023	0.0533477804307067	0.0472806084325179
ORF70	L	cluster_12	0.937292486272583	0.758692006313868	0.097393340956785	0.112671100847974
ORF71	unknown	cluster_6	0.94475802413414	0.791275198205967	0.0440897906944228	0.544101491699777
ORF72	L	cluster_6	0.94475802413414	0.791275198205967	0.0347251206606825	0.455135499510876
ORF73	L	cluster_2	0.954344474711907	0.839222174749763	0.00830257913740711	0.114034540422867
ORF74	L	cluster_8	0.999458847621458	0.996330052979522	0.00123001409417794	0.639451079474284
ORF75	unknown	cluster_2	0.954344474711907	0.839222174749763	0.0156743450725007	0.250467699025901
ORF76	L	cluster_2	0.954344474711907	0.839222174749763	0.0151126067190543	0.120176237645969
ORF8	L	cluster_5	0.84255797364664	0.468941246055435	0.0614680432761426	0.00484107359882617
ORF9	L	cluster_1	0.999861578494841	0.999307841098033	0.0471158686488235	0.281827668085685
