gene	Kinetic_class	hpi	Time	cell_line	seqnames	strand	norm_base	sample	group	read_count	mean	sd	varcoeff	dist_from_mean	farthest_from_mean	farthest_rep	best_label	labels	rep	rep_gene
ORF19	L	6h	6	RK-13	NC_001491.2	+	12226	EHV-1_6h_2	RK-13_6h	0.000817929003762473	0.000917740441308135	0.000148998340901505	0.16235346531	9.98114375456617e-05	FALSE	NA	2	2	2	ORF19::2
ORF19	L	6h	6	RK-13	NC_001491.2	+	13774	EHV-1_6h_3	RK-13_6h	0.0010890082764629	0.000917740441308135	0.000148998340901505	0.16235346531	0.000171267835154766	TRUE	3	2	2	3	ORF19::3
ORF19	L	8h	8	RK-13	NC_001491.2	+	13636	EHV-1_8h_1	RK-13_8h	0.00139337048987973	0.00147152895503462	0.000441236040810441	0.299848697710511	7.8158465154893e-05	FALSE	NA	2	2	1	ORF19::1
ORF19	L	8h	8	RK-13	NC_001491.2	+	19521	EHV-1_8h_2	RK-13_8h	0.00194662158700886	0.00147152895503462	0.000441236040810441	0.299848697710511	0.000475092631974239	TRUE	2	2	2	2	ORF19::2
ORF19	L	8h	8	RK-13	NC_001491.2	+	22334	EHV-1_8h_3	RK-13_8h	0.00107459478821528	0.00147152895503462	0.000441236040810441	0.299848697710511	0.000396934166819346	FALSE	NA	2	2	3	ORF19::3
ORF19	L	12h	12	RK-13	NC_001491.2	+	64872	EHV-1_12h_1	RK-13_12h	0.000924898261191269	0.000790004506108576	0.000147654975632393	0.18690396635801	0.000134893755082693	FALSE	NA	2	2	1	ORF19::1
ORF19	L	12h	12	RK-13	NC_001491.2	+	44286	EHV-1_12h_2	RK-13_12h	0.000632253985458158	0.000790004506108576	0.000147654975632393	0.18690396635801	0.000157750520650418	TRUE	2	2	2	2	ORF19::2
ORF19	L	12h	12	RK-13	NC_001491.2	+	44288	EHV-1_12h_3	RK-13_12h	0.000812861271676301	0.000790004506108576	0.000147654975632393	0.18690396635801	2.28567655677246e-05	FALSE	NA	2	2	3	ORF19::3
ORF19	L	18h	18	RK-13	NC_001491.2	+	54584	EHV-1_18h_1	RK-13_18h	0.000164883482339147	0.000189012926916273	7.09585642353541e-05	0.375416461683525	2.41294445771265e-05	FALSE	NA	2	2	1	ORF19::1
ORF19	L	18h	18	RK-13	NC_001491.2	+	37519	EHV-1_18h_2	RK-13_18h	0.000133265811988592	0.000189012926916273	7.09585642353541e-05	0.375416461683525	5.5747114927681e-05	FALSE	NA	2	2	2	ORF19::2
ORF19	L	18h	18	RK-13	NC_001491.2	+	33471	EHV-1_18h_3	RK-13_18h	0.000268889486421081	0.000189012926916273	7.09585642353541e-05	0.375416461683525	7.98765595048075e-05	TRUE	3	2	2	3	ORF19::3
ORF19	L	24h	24	RK-13	NC_001491.2	+	44330	EHV-1_24h_1	RK-13_24h	0.000180464696593729	0.000227913157212028	7.17033289415962e-05	0.314608115734584	4.74484606182992e-05	FALSE	NA	2	2	1	ORF19::1
ORF19	L	24h	24	RK-13	NC_001491.2	+	31108	EHV-1_24h_2	RK-13_24h	0.000192876430500193	0.000227913157212028	7.17033289415962e-05	0.314608115734584	3.50367267118352e-05	FALSE	NA	2	2	2	ORF19::2
ORF19	L	24h	24	RK-13	NC_001491.2	+	28995	EHV-1_24h_3	RK-13_24h	0.000310398344542163	0.000227913157212028	7.17033289415962e-05	0.314608115734584	8.24851873301344e-05	TRUE	3	2	2	3	ORF19::3
ORF19	L	48h	48	RK-13	NC_001491.2	+	62015	EHV-1_48h_1	RK-13_48h	0.000258002096267032	0.000238598323489825	4.87475871055723e-05	0.204308171124476	1.94037727772067e-05	FALSE	NA	2	2	1	ORF19::1
ORF19	L	48h	48	RK-13	NC_001491.2	+	43691	EHV-1_48h_2	RK-13_48h	0.000274656107665194	0.000238598323489825	4.87475871055723e-05	0.204308171124476	3.60577841753688e-05	FALSE	NA	2	2	2	ORF19::2
