gene	Kinetic_class	cluster	1h	2h	4h	6h	8h	12h	18h	24h	48h
ORF15	unknown	cluster_5	0	0	0	0.000155663697235778	0.000967131541284616	0.0622970449951915	0.0879088018375797	0.10703668317902	0.0464749234033671
ORF16	L	cluster_5	0	0	0	0	7.67753384126224e-05	0.0119042953162992	0.00730669772246202	0.0296882653297561	0.0165683021433756
ORF17	L	cluster_1	0	0.0027798002468536	0.000707036673581806	0.000252289890916921	0.0003624436473042	0.000363809986603295	0.000119300837844141	0.0001141660680065	7.33451534469383e-05
ORF18	L	cluster_2	0	0.0110798298568958	0.011766784229725	0.00716124035362961	0.0263490678667416	0.0153395457056923	0.00188843798506551	0.00209025828593217	0.00233167932975643
ORF19	L	cluster_3	0	0	0.000792773081803334	0.000917740441308135	0.00147152895503462	0.000790004506108576	0.000189012926916273	0.000227913157212028	0.000266329101966113
ORF20	E	cluster_3	0	0.0266391666805522	0.020512734147492	0.0101712241334766	0.0161798795355076	0.00894025597877299	0.00214289381303573	0.00212093049026685	0.00241906786279528
ORF21	E	cluster_3	0	0.00731929864470895	0.00557847138416373	0.000704622231323806	0.0040023177152974	0.00307947108565379	0.000284726722439988	0.000670505705085561	0.000463994177015928
ORF22	L	cluster_5	0	0.00264423493398825	0.00520250873787182	0.00348462056765843	0.0090849997277372	0.00916085176943158	0.00494074061939148	0.00884267061998782	0.00699711974069405
ORF23	L	cluster_5	0	0.000556932533694529	0	0.000258592665329405	0.00186442385921824	0.00146146898226381	0.000341044981212346	0.0014379564922729	0.0010504909644007
ORF24	L	cluster_2	0	0	0	0	4.47747828423032e-05	0.000113984711981738	0	3.72503169491978e-05	0
ORF25	L	cluster_5	0.177777777777778	0.000859099766243933	0.00077197108224916	0.0461362577666792	0.114249018034154	0.172310568502167	0.147701370969541	0.155797689673565	0.138527895560437
ORF26	L	cluster_2	0	0.000252334090335604	0	0.00140114781712645	0.00347253989535881	0.00207249913155878	0.000617021814388257	0.000550976785089441	0.000813812749362094
ORF27	L	cluster_5	0	0	0.000146713615023474	2.56449710211827e-05	3.93700239277806e-05	0.000133815397276033	4.71225141273729e-05	0.000144677900330658	8.47891579329881e-05
ORF28	L	cluster_2	0	0	0	0	8.08907481976781e-05	7.08509178079505e-05	0	1.50387247161441e-05	8.06256550834476e-06
ORF29	L	cluster_2	0	0.000859099766243933	0.00396959481099806	0.0157297881318121	0.0283668092301187	0.0171372702680913	0.00558423612161332	0.0074134904264759	0.00275041511250925
ORF30	E	cluster_1	0	0.0189619643481897	0.0089748555407801	0.000276490074838318	0.000330257100834702	0.00018722413927662	1.49911831080968e-05	4.04463118411365e-05	2.75691355027393e-05
ORF31	E	cluster_3	0	0.0670985923343352	0.0735402248857892	0.00680356579379074	0.0206320939031634	0.0138323567341179	0.00119040764559495	0.00379641387524772	0.00187756502948288
ORF32	E	cluster_1	0	0.000218866272707376	0.000146713615023474	0	0.000217365797066705	9.85694010579297e-05	9.95886986744744e-06	2.14307145000214e-05	8.06256550834476e-06
ORF33	L	cluster_5	0	0.000218866272707376	0.00144060474869918	0.000420733678982115	0.00501524085182757	0.0066282670859471	0.00128262899751038	0.00705374042836988	0.00416606771640097
ORF34	unknown	cluster_3	0	0.101862936198922	0.0668050424004216	0.0508117391380556	0.0754991566443862	0.0481693125750104	0.0204583725523401	0.0160502008746943	0.0156632130550162
ORF35.5	L	cluster_5	0	0.000421367220829181	0.00181976838696765	0.00796537835283413	0.027085135096651	0.0289249833561942	0.0204464566990474	0.0376319066964471	0.0180755180398561
ORF35	L	cluster_5	0	0	0	0	0	3.01063129290023e-05	1.49911831080968e-05	0.000103104215915327	5.85197099831836e-05
ORF36	L	cluster_5	0	0.000169033130493577	0.00118162332391861	0.00115953140021951	0.0033999539253935	0.00306153072068147	0.000943261681207816	0.00176370924819057	0.001096784606026
ORF37	L	cluster_3	0	0.000387899403200953	0.000857707490470688	0.00101725620918885	0.00104121079382237	0.000353896683379872	0.000116523246020426	0.0001141660680065	0.000150589369552681
ORF38	L	cluster_3	0	0.00340366841580459	0.00496685772265025	0.00174463383733427	0.00476310445465342	0.00248089017055728	0.000546675185633017	0.000346056097843499	0.000336292816435347
ORF39	L	cluster_2	0	0	0	7.56646679682114e-05	0.00166480905042122	0.00201539864429842	0.000170904053217404	0.000608442555913758	0.000264247350541343
CTO	unknown	cluster_5	0	0.00392787030032798	0.00559607239174135	0.0102944164592654	0.0272119524581736	0.0326416902699129	0.014813837472144	0.0159050110501503	0.0176755180199262
ORF40	L	cluster_2	0	0	0.000262938626645975	0.00113423551320723	0.00313460271586577	0.00271204771215232	0.000875458302123086	0.00121819860723236	0.000795088243239535
ORF41	L	cluster_5	0	0	0	0	6.18504107985213e-05	0.000175282611553826	5.48266625778866e-05	0.000468522405941103	0.000137845677513696
ORF42	L	cluster_2	0	0.00249473550734686	0.00151345356109735	0.00156188038197752	0.0264757860952724	0.027338652778046	0.0036502409365652	0.018569643207582	0.00799662468023843
ORF43	L	cluster_5	0	0.000656598818122127	0.00159523276745347	0.00300652212856986	0.0127245326557209	0.0159959533385632	0.0073175921670798	0.0135004184699561	0.0125421731126135
ORF44	L	cluster_5	0	0	0	2.56449710211827e-05	0.000213194371163189	0.000273129403212911	6.10392148339285e-05	0.000314329004894438	4.83753930500685e-05
ORF46	L	cluster_5	0	0.000421367220829181	0.000146713615023474	0.000613462440331057	0.00355042394738074	0.00455982984185033	0.00184408385302379	0.00291172024226143	0.00381729564811738
ORF48	L	cluster_5	0	0	0	0	0.000144891859338316	0.000583674670264184	0.000154732631093915	0.000723575624483935	0.000464776240887763
ORF49	L	cluster_2	0	0.000169033130493577	0.000181159420289855	0.000105993084297645	0.0003097414234069	0.0003470924596185	5.77100110154534e-05	0.000203358931779877	0.000120420858944072
ORF50	L	cluster_3	0	0.00188723266298144	0.00278081329323748	0.00100999593539177	0.00182051042758859	0.0011787831617755	0.000180757166471	0.00037017594038378	0.000236678215038604
ORF51	E	cluster_3	0	0.000387899403200953	0.00130180553740652	0.00187824030576622	0.0011728878408071	0.000619500273144429	0.000621291002406444	0.000264729091269356	0.000609902420037969
ORF52	L	cluster_5	0	0	0	0.000228264248999971	0.00150523427048645	0.00609259110450289	0.00709424475824079	0.0195770764066744	0.0227451332103436
ORF53	E	cluster_1	0	0.0152226608822074	0.00363852078370817	0.000207128181282591	0.000353784829817271	0.000370396588209855	7.48501589266327e-05	0.000148654772955629	0.000137845677513696
ORF54	E	cluster_5	0	0	0	0.000152774123036208	0.00113923318609472	0.00860835237042068	0.014547493460141	0.0616800924146093	0.0588604587921421
