gene	Kinetic_class	hpi	Time	cell_line	seqnames	strand	norm_base	sample	group	read_count	mean	sd	varcoeff	dist_from_mean	farthest_from_mean	farthest_rep	cluster
ORF2	unknown	4h	4	RK-13	NC_001491.2	-	2272	EHV-1_4h_2	RK-13_4h	0.000440140845070423	0.000262938626645975	0.00023225856205073	0.883318533352829	0.000177202218424447	FALSE	NA	cluster_2
ORF2	unknown	4h	4	RK-13	NC_001491.2	-	2868	EHV-1_4h_3	RK-13_4h	0.000348675034867504	0.000262938626645975	0.00023225856205073	0.883318533352829	8.57364082215281e-05	FALSE	NA	cluster_2
ORF2	unknown	6h	6	RK-13	NC_001491.2	-	12998	EHV-1_6h_1	RK-13_6h	0.00192337282658871	0.0016642857240578	0.000232910050615943	0.139945952338081	0.000259087102530902	TRUE	1	cluster_2
ORF2	unknown	6h	6	RK-13	NC_001491.2	-	12226	EHV-1_6h_2	RK-13_6h	0.00147227220677245	0.0016642857240578	0.000232910050615943	0.139945952338081	0.000192013517285352	FALSE	NA	cluster_2
ORF2	unknown	6h	6	RK-13	NC_001491.2	-	13774	EHV-1_6h_3	RK-13_6h	0.00159721213881226	0.0016642857240578	0.000232910050615943	0.139945952338081	6.70735852455493e-05	FALSE	NA	cluster_2
ORF2	unknown	8h	8	RK-13	NC_001491.2	-	13636	EHV-1_8h_1	RK-13_8h	0.00586682311528307	0.00581236007714672	0.000664117193971927	0.114259472083144	5.44630381363528e-05	FALSE	NA	cluster_2
ORF2	unknown	8h	8	RK-13	NC_001491.2	-	19521	EHV-1_8h_2	RK-13_8h	0.00512268838686543	0.00581236007714672	0.000664117193971927	0.114259472083144	0.000689671690281294	TRUE	2	cluster_2
ORF2	unknown	8h	8	RK-13	NC_001491.2	-	22334	EHV-1_8h_3	RK-13_8h	0.00644756872929166	0.00581236007714672	0.000664117193971927	0.114259472083144	0.000635208652144941	FALSE	NA	cluster_2
ORF2	unknown	12h	12	RK-13	NC_001491.2	-	64872	EHV-1_12h_1	RK-13_12h	0.00448575656677765	0.00460375950522526	0.000321404086047425	0.0698133961347529	0.000118002938447601	FALSE	NA	cluster_2
ORF2	unknown	12h	12	RK-13	NC_001491.2	-	44286	EHV-1_12h_2	RK-13_12h	0.00435803639976516	0.00460375950522526	0.000321404086047425	0.0698133961347529	0.000245723105460093	FALSE	NA	cluster_2
ORF2	unknown	12h	12	RK-13	NC_001491.2	-	44288	EHV-1_12h_3	RK-13_12h	0.00496748554913295	0.00460375950522526	0.000321404086047425	0.0698133961347529	0.000363726043907693	TRUE	3	cluster_2
ORF2	unknown	18h	18	RK-13	NC_001491.2	-	54584	EHV-1_18h_1	RK-13_18h	0.000989300894034882	0.00103907532068291	0.000138006576862407	0.132816720901143	4.97744266480253e-05	FALSE	NA	cluster_2
ORF2	unknown	18h	18	RK-13	NC_001491.2	-	37519	EHV-1_18h_2	RK-13_18h	0.000932860683920147	0.00103907532068291	0.000138006576862407	0.132816720901143	0.00010621463676276	FALSE	NA	cluster_2
ORF2	unknown	18h	18	RK-13	NC_001491.2	-	33471	EHV-1_18h_3	RK-13_18h	0.00119506438409369	0.00103907532068291	0.000138006576862407	0.132816720901143	0.000155989063410786	TRUE	3	cluster_2
ORF2	unknown	24h	24	RK-13	NC_001491.2	-	44330	EHV-1_24h_1	RK-13_24h	0.000857207308820212	0.000743025604716921	0.00014591969764126	0.196385826699543	0.000114181704103292	FALSE	NA	cluster_2
ORF2	unknown	24h	24	RK-13	NC_001491.2	-	31108	EHV-1_24h_2	RK-13_24h	0.000578629291500579	0.000743025604716921	0.00014591969764126	0.196385826699543	0.000164396313216342	TRUE	2	cluster_2
ORF2	unknown	24h	24	RK-13	NC_001491.2	-	28995	EHV-1_24h_3	RK-13_24h	0.000793240213829971	0.000743025604716921	0.00014591969764126	0.196385826699543	5.02146091130503e-05	FALSE	NA	cluster_2
ORF2	unknown	48h	48	RK-13	NC_001491.2	-	62015	EHV-1_48h_1	RK-13_48h	0.00140288639845199	0.00144530349081923	5.99868273021839e-05	0.0415046581449701	0.000586215154702765	FALSE	NA	cluster_2
ORF2	unknown	48h	48	RK-13	NC_001491.2	-	43691	EHV-1_48h_2	RK-13_48h	0.00148772058318647	0.00144530349081923	5.99868273021839e-05	0.0415046581449701	0.000501380969968284	FALSE	NA	cluster_2
ORF3	L	1h	1	RK-13	NC_001491.2	+	7	EHV-1_1h_1	RK-13_1h	0	0	0		0		NA	cluster_2
ORF3	L	1h	1	RK-13	NC_001491.2	+	10	EHV-1_1h_2	RK-13_1h	0	0	0		0		NA	cluster_2
ORF3	L	1h	1	RK-13	NC_001491.2	+	3	EHV-1_1h_3	RK-13_1h	0	0	0		0		NA	cluster_2
ORF3	L	2h	2	RK-13	NC_001491.2	+	1972	EHV-1_2h_1	RK-13_2h	0	0.000218866272707376	0.0003790875043924	1.73205080756888	0.000218866272707376	FALSE	NA	cluster_2
ORF3	L	2h	2	RK-13	NC_001491.2	+	1523	EHV-1_2h_2	RK-13_2h	0.000656598818122127	0.000218866272707376	0.0003790875043924	1.73205080756888	0.000437732545414752	TRUE	2	cluster_2
ORF3	L	2h	2	RK-13	NC_001491.2	+	1321	EHV-1_2h_3	RK-13_2h	0	0.000218866272707376	0.0003790875043924	1.73205080756888	0.000218866272707376	FALSE	NA	cluster_2
ORF3	L	4h	4	RK-13	NC_001491.2	+	1840	EHV-1_4h_1	RK-13_4h	0.0016304347826087	0.00252503286043348	0.0014382670942599	0.569603317563557	0.00089459807782478	FALSE	NA	cluster_2
ORF3	L	4h	4	RK-13	NC_001491.2	+	2272	EHV-1_4h_2	RK-13_4h	0.00176056338028169	0.00252503286043348	0.0014382670942599	0.569603317563557	0.000764469480151786	FALSE	NA	cluster_2
ORF3	L	4h	4	RK-13	NC_001491.2	+	2868	EHV-1_4h_3	RK-13_4h	0.00418410041841004	0.00252503286043348	0.0014382670942599	0.569603317563557	0.00165906755797657	TRUE	3	cluster_2
ORF3	L	6h	6	RK-13	NC_001491.2	+	12998	EHV-1_6h_1	RK-13_6h	0.00592398830589321	0.005243876817995	0.000671947432520714	0.128139438785985	0.000680111487898217	TRUE	1	cluster_2
ORF3	L	6h	6	RK-13	NC_001491.2	+	12226	EHV-1_6h_2	RK-13_6h	0.00458040242106985	0.005243876817995	0.000671947432520714	0.128139438785985	0.000663474396925146	FALSE	NA	cluster_2
ORF3	L	6h	6	RK-13	NC_001491.2	+	13774	EHV-1_6h_3	RK-13_6h	0.00522723972702193	0.005243876817995	0.000671947432520714	0.128139438785985	1.66370909730719e-05	FALSE	NA	cluster_2
