gene	Kinetic_class	cluster	EHV-1_1h_1	EHV-1_1h_2	EHV-1_1h_3	EHV-1_2h_1	EHV-1_2h_2	EHV-1_2h_3	EHV-1_4h_1	EHV-1_4h_2	EHV-1_4h_3	EHV-1_6h_1	EHV-1_6h_2	EHV-1_6h_3	EHV-1_8h_1	EHV-1_8h_2	EHV-1_8h_3	EHV-1_12h_1	EHV-1_12h_2	EHV-1_12h_3	EHV-1_18h_1	EHV-1_18h_2	EHV-1_18h_3	EHV-1_24h_1	EHV-1_24h_2	EHV-1_24h_3	EHV-1_48h_1	EHV-1_48h_2
ORF37	L	cluster_9	0	0	0	1	1	0	3	1	3	17	11	19	12	29	26	29	18	17	14	5	3	11	5	3	19	5
ORF38	L	cluster_3	0	0	0	6	5	6	11	14	12	25	26	24	68	83	135	198	110	117	28	22	25	14	12	16	19	16
ORF39	L	cluster_4	0	0	0	0	0	0	1	1	0	1	3	4	32	38	40	190	104	95	12	10	6	28	24	22	26	12
ORF4	unknown	cluster_3	0	0	0	4	5	7	7	8	12	43	36	32	30	43	45	57	46	57	11	4	3	6	5	8	13	9
ORF40	L	cluster_2	0	0	0	0	0	0	0	1	1	12	17	16	58	61	75	189	150	153	88	43	51	97	57	65	65	65
ORF41	L	cluster_10	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	28	12	10	21	9	15	31	26	28	27	14
ORF42	L	cluster_2	0	0	0	6	1	7	7	5	7	39	46	48	619	910	975	2953	1850	1666	604	388	307	1336	908	826	1193	713
ORF43	L	cluster_2	0	0	0	0	3	1	4	4	5	31	44	52	207	250	315	1216	726	764	435	304	272	632	435	455	851	606
ORF44	L	cluster_8	0	0	0	0	0	0	0	0	0	1	0	0	4	10	4	27	14	17	7	3	4	14	14	8	7	1
ORF45	L	cluster_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
ORF46	L	cluster_4	0	0	0	1	0	1	0	1	0	13	6	9	58	70	87	344	207	217	100	83	64	132	105	96	266	188
ORF48	L	cluster_10	0	0	0	0	0	0	0	0	0	0	1	0	2	8	5	68	27	29	12	11	10	47	26	32	37	36
ORF49	L	cluster_8	0	0	0	1	0	0	1	0	0	0	3	2	10	5	9	34	14	20	4	7	2	10	9	5	17	11
ORF5	E	cluster_3	0	0	0	178	152	146	137	160	236	140	155	139	131	161	163	279	207	183	36	16	25	30	19	14	40	26
ORF50	L	cluster_3	0	0	0	3	4	2	7	6	7	15	15	10	31	38	48	88	49	64	11	8	8	16	12	16	19	8
ORF51	E	cluster_9	0	0	0	1	1	0	4	2	5	21	28	31	31	21	12	42	31	26	33	32	18	13	8	8	47	25
ORF52	L	cluster_4	0	0	0	0	0	0	0	0	0	3	2	4	22	25	47	411	307	303	423	277	267	920	646	626	1536	1129
ORF53	E	cluster_6	0	0	0	42	28	17	9	7	14	4	3	3	6	10	12	37	16	16	4	4	6	7	7	10	17	6
ORF54	E	cluster_4	0	0	0	0	0	0	1	0	0	1	2	3	16	24	35	726	443	502	1304	760	628	3664	2455	2250	5109	3085
ORF55	L	cluster_11	0	0	0	1	0	0	3	0	6	10	11	11	16	20	22	27	16	15	5	5	0	0	1	3	1	1
ORF56	L	cluster_5	0	0	0	1	0	0	2	1	0	1	0	1	2	3	4	19	7	13	3	1	0	8	2	2	8	2
ORF57	L	cluster_8	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	9	4	3	2	5	1	15	5	10	18	16
ORF58	L	cluster_4	0	0	0	0	0	0	0	0	0	11	9	9	36	66	72	345	214	240	150	119	122	156	88	105	290	204
ORF59	L	cluster_8	0	0	0	0	0	0	0	1	0	2	3	2	4	5	4	11	5	7	10	4	7	6	3	3	9	12
ORF6	L	cluster_4	1	0	0	0	0	0	0	0	0	7	6	6	49	61	64	368	229	229	174	116	93	551	385	322	328	225
ORF60	L	cluster_4	0	0	0	0	1	0	0	0	0	3	3	1	26	38	26	1376	980	900	591	386	341	1215	796	789	1396	957
ORF61	E	cluster_1	0	0	0	34	14	22	37	57	36	40	39	44	93	137	135	285	193	183	40	23	19	63	33	34	56	36
ORF62	L	cluster_4	0	0	0	0	0	0	0	1	1	11	14	16	107	140	135	889	553	553	212	143	145	685	498	422	745	504
ORF63	E	cluster_3	0	0	0	185	153	111	80	99	113	40	49	42	41	69	65	66	43	59	8	6	8	6	10	4	11	7
ORF64_1	IE	cluster_12	3	3	3	9	7	12	9	1	5	1	5	3	11	15	54	21	41	38	4	4	0	3	1	1	9	5
ORF65_1	E	cluster_3	2	0	0	332	230	197	257	279	373	399	343	328	325	369	574	478	405	381	51	17	16	23	19	16	31	32
ORF66_1	unknown	cluster_7	0	0	0	0	0	1	0	0	1	26	14	25	39	44	51	68	60	66	18	3	12	11	9	10	3	3
ORF67_1	L	cluster_1	2	1	0	231	184	166	67	102	136	290	222	226	475	836	1557	1551	941	1109	264	151	121	156	102	112	479	397
ORF68	L	cluster_4	0	0	0	0	0	0	0	0	0	1	2	3	18	18	42	98	101	85	17	11	8	25	10	21	36	17
ORF69	E	cluster_3	0	1	0	126	74	53	51	91	97	55	65	58	83	111	137	152	107	101	16	5	6	9	11	14	14	11
ORF7	E	cluster_5	0	0	0	2	1	0	1	1	0	0	2	0	3	3	6	8	7	9	0	1	0	0	0	1	0	3
ORF70	L	cluster_1	1	2	0	14	15	8	2	7	4	17	10	17	93	129	178	699	428	488	110	74	63	81	65	58	105	87
ORF71	unknown	cluster_4	0	0	0	0	0	0	0	0	0	0	0	1	8	5	4	263	160	146	191	108	96	382	240	216	313	222
ORF72	L	cluster_4	0	0	0	0	0	0	0	0	0	0	2	0	6	9	11	215	136	146	100	64	41	211	167	146	264	225
ORF73	L	cluster_2	0	0	0	1	0	0	0	1	1	15	14	13	45	71	73	230	139	142	44	44	35	57	31	35	81	56
ORF74	L	cluster_1	0	0	0	4	2	3	0	2	3	7	2	7	31	48	59	220	132	128	26	18	13	35	31	30	40	31
ORF75	unknown	cluster_1	0	0	2	75	76	54	56	69	96	345	321	322	327	505	555	836	533	574	178	115	105	74	59	48	144	93
ORF76	L	cluster_5	0	0	0	0	0	0	1	0	1	4	0	6	6	8	12	12	18	14	3	1	1	4	0	1	4	2
ORF8	L	cluster_2	0	0	0	0	0	0	0	3	2	48	35	39	79	98	85	275	181	175	111	64	69	113	91	81	157	88
ORF9	L	cluster_3	0	0	0	7	7	8	9	18	23	62	69	81	93	136	144	171	101	118	23	22	25	22	12	9	30	23
