gene	Kinetic_class	cluster	1h	2h	4h	6h	8h	12h	18h	24h	48h
ORF28	L	cluster_5	0	0	0.333333333333333	0.333333333333333	1.66666666666667	4.33333333333333	0.666666666666667	1	1
ORF29	L	cluster_2	0	1.33333333333333	11.3333333333333	221	550.666666666667	926.666666666667	259	284.333333333333	176
ORF3	L	cluster_2	0	0.333333333333333	7	71.3333333333333	152.666666666667	270.333333333333	75.3333333333333	55	55
ORF30	E	cluster_6	0	34	26.6666666666667	7	8.66666666666667	11.3333333333333	1.33333333333333	1.66666666666667	2.5
ORF31	E	cluster_1	0	119.333333333333	197.666666666667	112.333333333333	466.666666666667	833.333333333333	69.6666666666667	162	121.5
ORF32	E	cluster_5	0	0.333333333333333	0.333333333333333	0.333333333333333	7	7.33333333333333	0.666666666666667	1.33333333333333	1
ORF33	L	cluster_2	0	0.666666666666667	3.66666666666667	8	117	414	85.6666666666667	308	310
ORF34	unknown	cluster_1	0	167.666666666667	165.333333333333	689	1459	2562	882	582.333333333333	856
ORF35	L	cluster_8	0	0	0	0	0	1.33333333333333	1	4.66666666666667	6.5
ORF35.5	L	cluster_2	0	0.666666666666667	4.33333333333333	111	542.666666666667	1596.66666666667	935	1408	1030
ORF36	L	cluster_2	0	0.333333333333333	3	16	75.6666666666667	185.666666666667	48.3333333333333	81	71.5
ORF37	L	cluster_9	0	0.666666666666667	2.33333333333333	15.6666666666667	22.3333333333333	21.3333333333333	7.33333333333333	6.33333333333333	12
ORF38	L	cluster_3	0	5.66666666666667	12.3333333333333	25	95.3333333333333	141.666666666667	25	14	17.5
ORF39	L	cluster_4	0	0	0.666666666666667	2.66666666666667	36.6666666666667	129.666666666667	9.33333333333333	24.6666666666667	19
ORF4	unknown	cluster_3	0	5.33333333333333	9	37	39.3333333333333	53.3333333333333	6	6.33333333333333	11
ORF40	L	cluster_2	0	0	0.666666666666667	15	64.6666666666667	164	60.6666666666667	73	65
ORF41	L	cluster_10	0	0	0	0	3.66666666666667	16.6666666666667	15	28.3333333333333	20.5
ORF42	L	cluster_2	0	4.66666666666667	6.33333333333333	44.3333333333333	834.666666666667	2156.33333333333	433	1023.33333333333	953
ORF43	L	cluster_2	0	1.33333333333333	4.33333333333333	42.3333333333333	257.333333333333	902	337	507.333333333333	728.5
ORF44	L	cluster_8	0	0	0	0.333333333333333	6	19.3333333333333	4.66666666666667	12	4
ORF45	L	cluster_5	0	0	0	0	0	0.666666666666667	0	0	0.5
ORF46	L	cluster_4	0	0.666666666666667	0.333333333333333	9.33333333333333	71.6666666666667	256	82.3333333333333	111	227
ORF48	L	cluster_10	0	0	0	0.333333333333333	5	41.3333333333333	11	35	36.5
ORF49	L	cluster_8	0	0.333333333333333	0.333333333333333	1.66666666666667	8	22.6666666666667	4.33333333333333	8	14
ORF5	E	cluster_3	0	158.666666666667	177.666666666667	144.666666666667	151.666666666667	223	25.6666666666667	21	33
ORF50	L	cluster_3	0	3	6.66666666666667	13.3333333333333	39	67	9	14.6666666666667	13.5
ORF51	E	cluster_9	0	0.666666666666667	3.66666666666667	26.6666666666667	21.3333333333333	33	27.6666666666667	9.66666666666667	36
ORF52	L	cluster_4	0	0	0	3	31.3333333333333	340.333333333333	322.333333333333	730.666666666667	1332.5
ORF53	E	cluster_6	0	29	10	3.33333333333333	9.33333333333333	23	4.66666666666667	8	11.5
ORF54	E	cluster_4	0	0	0.333333333333333	2	25	557	897.333333333333	2789.66666666667	4097
ORF55	L	cluster_11	0	0.333333333333333	3	10.6666666666667	19.3333333333333	19.3333333333333	3.33333333333333	1.33333333333333	1
ORF56	L	cluster_5	0	0.333333333333333	1	0.666666666666667	3	13	1.33333333333333	4	5
ORF57	L	cluster_8	0	0	0	0.333333333333333	1.33333333333333	5.33333333333333	2.66666666666667	10	17
ORF58	L	cluster_4	0	0	0	9.66666666666667	58	266.333333333333	130.333333333333	116.333333333333	247
ORF59	L	cluster_8	0	0	0.333333333333333	2.33333333333333	4.33333333333333	7.66666666666667	7	4	10.5
ORF6	L	cluster_4	0.333333333333333	0	0	6.33333333333333	58	275.333333333333	127.666666666667	419.333333333333	276.5
ORF60	L	cluster_4	0	0.333333333333333	0	2.33333333333333	30	1085.33333333333	439.333333333333	933.333333333333	1176.5
ORF61	E	cluster_1	0	23.3333333333333	43.3333333333333	41	121.666666666667	220.333333333333	27.3333333333333	43.3333333333333	46
ORF62	L	cluster_4	0	0	0.666666666666667	13.6666666666667	127.333333333333	665	166.666666666667	535	624.5
ORF63	E	cluster_3	0	149.666666666667	97.3333333333333	43.6666666666667	58.3333333333333	56	7.33333333333333	6.66666666666667	9
ORF64_1	IE	cluster_12	3	9.33333333333333	5	3	26.6666666666667	33.3333333333333	2.66666666666667	1.66666666666667	7
ORF65_1	E	cluster_3	0.666666666666667	253	303	356.666666666667	422.666666666667	421.333333333333	28	19.3333333333333	31.5
ORF66_1	unknown	cluster_7	0	0.333333333333333	0.333333333333333	21.6666666666667	44.6666666666667	64.6666666666667	11	10	3
ORF67_1	L	cluster_1	1	193.666666666667	101.666666666667	246	956	1200.33333333333	178.666666666667	123.333333333333	438
ORF68	L	cluster_4	0	0	0	2	26	94.6666666666667	12	18.6666666666667	26.5
ORF69	E	cluster_3	0.333333333333333	84.3333333333333	79.6666666666667	59.3333333333333	110.333333333333	120	9	11.3333333333333	12.5
ORF7	E	cluster_5	0	1	0.666666666666667	0.666666666666667	4	8	0.333333333333333	0.333333333333333	1.5
ORF70	L	cluster_1	1	12.3333333333333	4.33333333333333	14.6666666666667	133.333333333333	538.333333333333	82.3333333333333	68	96
ORF71	unknown	cluster_4	0	0	0	0.333333333333333	5.66666666666667	189.666666666667	131.666666666667	279.333333333333	267.5
ORF72	L	cluster_4	0	0	0	0.666666666666667	8.66666666666667	165.666666666667	68.3333333333333	174.666666666667	244.5
ORF73	L	cluster_2	0	0.333333333333333	0.666666666666667	14	63	170.333333333333	41	41	68.5
ORF74	L	cluster_1	0	3	1.66666666666667	5.33333333333333	46	160	19	32	35.5
ORF75	unknown	cluster_1	0.666666666666667	68.3333333333333	73.6666666666667	329.333333333333	462.333333333333	647.666666666667	132.666666666667	60.3333333333333	118.5
ORF76	L	cluster_5	0	0	0.666666666666667	3.33333333333333	8.66666666666667	14.6666666666667	1.66666666666667	1.66666666666667	3
ORF8	L	cluster_2	0	0	1.66666666666667	40.6666666666667	87.3333333333333	210.333333333333	81.3333333333333	95	122.5
ORF9	L	cluster_3	0	7.33333333333333	16.6666666666667	70.6666666666667	124.333333333333	130	23.3333333333333	14.3333333333333	26.5
